key, propensity, propensity^2, count, pos, neg
EE, 0.01154, 0.00013,     3553,       41,     3512
EF, 0.03461, 0.0012 ,     1647,       57,     1590
EG, 0.04398, 0.00193,     2524,      111,     2413
EH, 0.02924, 0.00085,      855,       25,      830
EI, 0.02728, 0.00074,     2896,       79,     2817
EK, 0.02695, 0.00073,     3340,       90,     3250
EL, 0.02881, 0.00083,     4790,      138,     4652
EM, 0.01275, 0.00016,     1020,       13,     1007
EN, 0.03558, 0.00127,     1911,       68,     1843
EP, 0.02504, 0.00063,     1877,       47,     1830
EQ, 0.02828, 0.0008 ,     1839,       52,     1787
ER, 0.04327, 0.00187,     2912,      126,     2786
ES, 0.04995, 0.0025 ,     2222,      111,     2111
ET, 0.03227, 0.00104,     1921,       62,     1859
EV, 0.02746, 0.00075,     2768,       76,     2692
EW, 0.0128 , 0.00016,      547,        7,      540
EY, 0.02754, 0.00076,     1307,       36,     1271
E_, 0.02151, 0.00046,      186,        4,      182
FA, 0.19219, 0.03694,     1280,      246,     1034
FC, 0.06154, 0.00379,      260,       16,      244
FD, 0.05484, 0.00301,     1240,       68,     1172
FE, 0.046  , 0.00212,     1326,       61,     1265
FF, 0.05556, 0.00309,      720,       40,      680
FG, 0.12529, 0.0157 ,     1285,      161,     1124
FH, 0.04904, 0.0024 ,      469,       23,      446
FI, 0.06966, 0.00485,     1048,       73,      975
FK, 0.13002, 0.01691,     1269,      165,     1104
FL, 0.06774, 0.00459,     1550,      105,     1445
FM, 0.12366, 0.01529,      372,       46,      326
FN, 0.17068, 0.02913,     1037,      177,      860
FP, 0.0817 , 0.00667,      918,       75,      843
FQ, 0.12937, 0.01674,      858,      111,      747
FR, 0.14783, 0.02185,     1177,      174,     1003
FS, 0.16154, 0.02609,     1300,      210,     1090
FT, 0.14128, 0.01996,     1090,      154,      936
FV, 0.09058, 0.00821,     1115,      101,     1014
FW, 0.04386, 0.00192,      228,       10,      218
FY, 0.04527, 0.00205,      729,       33,      696
F_, 0.01818, 0.00033,       55,        1,       54
GA, 0.0866 , 0.0075 ,     2171,      188,     1983
GC, 0.09665, 0.00934,      538,       52,      486
GD, 0.08509, 0.00724,     1516,      129,     1387
GE, 0.04154, 0.00173,     2239,       93,     2146
GF, 0.11231, 0.01261,     1300,      146,     1154
GG, 0.20925, 0.04378,     1644,      344,     1300
GH, 0.10695, 0.01144,      748,       80,      668
GI, 0.10074, 0.01015,     1757,      177,     1580
GK, 0.117  , 0.01369,     2453,      287,     2166
GL, 0.07238, 0.00524,     2846,      206,     2640
GM, 0.06832, 0.00467,      644,       44,      600
GN, 0.0997 , 0.00994,     1354,      135,     1219
GP, 0.10268, 0.01054,     1383,      142,     1241
GQ, 0.08068, 0.00651,     1289,      104,     1185
GR, 0.13691, 0.01874,     1994,      273,     1721
GS, 0.10821, 0.01171,     1950,      211,     1739
GT, 0.13549, 0.01836,     1668,      226,     1442
GV, 0.07933, 0.00629,     1790,      142,     1648
GW, 0.08038, 0.00646,      423,       34,      389
GY, 0.08581, 0.00736,     1142,       98,     1044
G_, 0.10769, 0.0116 ,      195,       21,      174
HA, 0.09041, 0.00817,      907,       82,      825
HC, 0.07207, 0.00519,      222,       16,      206
HD, 0.10487, 0.011  ,      534,       56,      478
HE, 0.08473, 0.00718,      838,       71,      767
HF, 0.10638, 0.01132,      564,       60,      504
HG, 0.13293, 0.01767,      835,      111,      724
HH, 0.11837, 0.01401,      566,       67,      499
HI, 0.10732, 0.01152,      820,       88,      732
HK, 0.15374, 0.02364,      748,      115,      633
HL, 0.11095, 0.01231,     1388,      154,     1234
HM, 0.08367, 0.007  ,      251,       21,      230
HN, 0.14717, 0.02166,      530,       78,      452
HP, 0.12251, 0.01501,      653,       80,      573
HQ, 0.1573 , 0.02474,      534,       84,      450
HR, 0.17695, 0.03131,      859,      152,      707
HS, 0.18455, 0.03406,      764,      141,      623
HT, 0.09212, 0.00849,      673,       62,      611
HV, 0.12102, 0.01465,      785,       95,      690
HW, 0.13369, 0.01787,      187,       25,      162
HY, 0.194  , 0.03764,      500,       97,      403
H_, 0.07143, 0.0051 ,       98,        7,       91
IA, 0.06268, 0.00393,     1707,      107,     1600
IC, 0.04762, 0.00227,      231,       11,      220
ID, 0.03641, 0.00133,     1593,       58,     1535
IE, 0.03174, 0.00101,     2111,       67,     2044
IF, 0.04058, 0.00165,      961,       39,      922
IG, 0.09607, 0.00923,     1884,      181,     1703
IH, 0.03733, 0.00139,      643,       24,      619
II, 0.01649, 0.00027,     1455,       24,     1431
IK, 0.07573, 0.00574,     1941,      147,     1794
IL, 0.04891, 0.00239,     2474,      121,     2353
IM, 0.03046, 0.00093,      591,       18,      573
IN, 0.04512, 0.00204,     1352,       61,     1291
IP, 0.05596, 0.00313,     1108,       62,     1046
IQ, 0.05758, 0.00332,     1042,       60,      982
IR, 0.05727, 0.00328,     1589,       91,     1498
IS, 0.07187, 0.00517,     1614,      116,     1498
IT, 0.10105, 0.01021,     1425,      144,     1281
IV, 0.03168, 0.001  ,     1452,       46,     1406
IW, 0.09023, 0.00814,      266,       24,      242
IY, 0.04027, 0.00162,      894,       36,      858
I_, 0.06173, 0.00381,       81,        5,       76
KA, 0.18283, 0.03343,     2888,      528,     2360
KC, 0.18718, 0.03504,      593,      111,      482
KD, 0.12791, 0.01636,     1978,      253,     1725
KE, 0.0945 , 0.00893,     3344,      316,     3028
KF, 0.16383, 0.02684,     1587,      260,     1327
KG, 0.18817, 0.03541,     2705,      509,     2196
KH, 0.16711, 0.02793,      754,      126,      628
KI, 0.12587, 0.01584,     2574,      324,     2250
KK, 0.14023, 0.01966,     2938,      412,     2526
KL, 0.13263, 0.01759,     4388,      582,     3806
KM, 0.13626, 0.01857,      910,      124,      786
KN, 0.15955, 0.02545,     1849,      295,     1554
KP, 0.1929 , 0.03721,     1633,      315,     1318
KQ, 0.16738, 0.02802,     1637,      274,     1363
KR, 0.19947, 0.03979,     2617,      522,     2095
KS, 0.21324, 0.04547,     2176,      464,     1712
KT, 0.19912, 0.03965,     1818,      362,     1456
KV, 0.15276, 0.02334,     2625,      401,     2224
KW, 0.19521, 0.03811,      584,      114,      470
KY, 0.1289 , 0.01661,     1412,      182,     1230
K_, 0.08889, 0.0079 ,      270,       24,      246
LA, 0.03266, 0.00107,     3399,      111,     3288
LC, 0.01934, 0.00037,      517,       10,      507
LD, 0.03198, 0.00102,     2689,       86,     2603
LE, 0.02384, 0.00057,     3607,       86,     3521
LF, 0.0299 , 0.00089,     1438,       43,     1395
LG, 0.07799, 0.00608,     2808,      219,     2589
LH, 0.05814, 0.00338,     1032,       60,      972
LI, 0.03161, 0.001  ,     2373,       75,     2298
LK, 0.06399, 0.00409,     3188,      204,     2984
LL, 0.02072, 0.00043,     4247,       88,     4159
LM, 0.01767, 0.00031,      849,       15,      834
LN, 0.05313, 0.00282,     1995,      106,     1889
LP, 0.04952, 0.00245,     2100,      104,     1996
LQ, 0.04095, 0.00168,     2027,       83,     1944
LR, 0.04805, 0.00231,     2851,      137,     2714
LS, 0.05964, 0.00356,     2951,      176,     2775
LT, 0.05586, 0.00312,     2578,      144,     2434
LV, 0.02624, 0.00069,     2477,       65,     2412
LW, 0.08103, 0.00657,      543,       44,      499
LY, 0.04977, 0.00248,     1286,       64,     1222
L_, 0.03727, 0.00139,      161,        6,      155
MA, 0.0612 , 0.00375,      768,       47,      721
MC, 0.05714, 0.00327,      105,        6,       99
MD, 0.06612, 0.00437,      484,       32,      452
ME, 0.02735, 0.00075,      841,       23,      818
MF, 0.06835, 0.00467,      395,       27,      368
MG, 0.09688, 0.00938,      640,       62,      578
MH, 0.09901, 0.0098 ,      202,       20,      182
MI, 0.04412, 0.00195,      612,       27,      585
MK, 0.08453, 0.00714,      769,       65,      704
ML, 0.04492, 0.00202,     1024,       46,      978
MM, 0.03759, 0.00141,      266,       10,      256
MN, 0.12216, 0.01492,      573,       70,      503
MP, 0.09572, 0.00916,      491,       47,      444
MQ, 0.0716 , 0.00513,      419,       30,      389
MR, 0.11812, 0.01395,      745,       88,      657
MS, 0.11726, 0.01375,      614,       72,      542
MT, 0.0875 , 0.00766,      480,       42,      438
MV, 0.04696, 0.0022 ,      575,       27,      548
MW, 0.0463 , 0.00214,      108,        5,      103
MY, 0.05536, 0.00307,      289,       16,      273
M_, 0.09924, 0.00985,      262,       26,      236
NA, 0.12048, 0.01452,     1494,      180,     1314
NC, 0.13898, 0.01932,      295,       41,      254
ND, 0.05815, 0.00338,     1049,       61,      988
NE, 0.06173, 0.00381,     1879,      116,     1763
NF, 0.11496, 0.01322,     1183,      136,     1047
NG, 0.14073, 0.01981,     1478,      208,     1270
NH, 0.08443, 0.00713,      533,       45,      488
NI, 0.08665, 0.00751,     1685,      146,     1539
NK, 0.13571, 0.01842,     1820,      247,     1573
NL, 0.0994 , 0.00988,     2495,      248,     2247
NM, 0.15916, 0.02533,      622,       99,      523
NN, 0.1113 , 0.01239,     1177,      131,     1046
NP, 0.09954, 0.00991,     1306,      130,     1176
NQ, 0.17103, 0.02925,      994,      170,      824
NR, 0.16546, 0.02738,     1523,      252,     1271
NS, 0.12137, 0.01473,     1582,      192,     1390
NT, 0.20421, 0.0417 ,     1141,      233,      908
NV, 0.11006, 0.01211,     1699,      187,     1512
NW, 0.15576, 0.02426,      321,       50,      271
NY, 0.07305, 0.00534,      794,       58,      736
N_, 0.04412, 0.00195,      136,        6,      130
PA, 0.07073, 0.005  ,     1541,      109,     1432
PC, 0.04594, 0.00211,      283,       13,      270
PD, 0.03852, 0.00148,     1428,       55,     1373
PE, 0.02651, 0.0007 ,     1773,       47,     1726
PF, 0.0734 , 0.00539,      940,       69,      871
PG, 0.0961 , 0.00924,     1436,      138,     1298
PH, 0.04228, 0.00179,      615,       26,      589
PI, 0.07374, 0.00544,     1234,       91,     1143
PK, 0.10045, 0.01009,     1563,      157,     1406
PL, 0.04985, 0.00248,     2267,      113,     2154
PM, 0.05726, 0.00328,      489,       28,      461
PN, 0.10849, 0.01177,     1272,      138,     1134
PP, 0.05631, 0.00317,      959,       54,      905
PQ, 0.06077, 0.00369,      905,       55,      850
PR, 0.08982, 0.00807,     1247,      112,     1135
PS, 0.07843, 0.00615,     1530,      120,     1410
PT, 0.09578, 0.00917,     1326,      127,     1199
PV, 0.0341 , 0.00116,     1789,       61,     1728
PW, 0.10989, 0.01208,      273,       30,      243
PY, 0.05752, 0.00331,      765,       44,      721
P_, 0.05641, 0.00318,      195,       11,      184
QA, 0.09622, 0.00926,     1933,      186,     1747
QC, 0.07034, 0.00495,      327,       23,      304
QD, 0.06096, 0.00372,      935,       57,      878
QE, 0.04588, 0.0021 ,     1831,       84,     1747
QF, 0.0999 , 0.00998,     1031,      103,      928
QG, 0.10955, 0.012  ,     1424,      156,     1268
QH, 0.1085 , 0.01177,      553,       60,      493
QI, 0.12804, 0.0164 ,     1437,      184,     1253
QK, 0.11703, 0.0137 ,     1632,      191,     1441
QL, 0.08071, 0.00651,     2602,      210,     2392
QM, 0.05929, 0.00352,      506,       30,      476
QN, 0.10542, 0.01111,      996,      105,      891
QP, 0.08017, 0.00643,      948,       76,      872
QQ, 0.04872, 0.00237,     1170,       57,     1113
QR, 0.11817, 0.01396,     1684,      199,     1485
QS, 0.10437, 0.01089,     1418,      148,     1270
QT, 0.13983, 0.01955,     1087,      152,      935
QV, 0.10712, 0.01147,     1503,      161,     1342
QW, 0.05618, 0.00316,      356,       20,      336
QY, 0.15927, 0.02537,      879,      140,      739
Q_, 0.03448, 0.00119,      116,        4,      112
RA, 0.20116, 0.04046,     2938,      591,     2347
RC, 0.218  , 0.04752,      500,      109,      391
RD, 0.15507, 0.02405,     1883,      292,     1591
RE, 0.14781, 0.02185,     2916,      431,     2485
RF, 0.20494, 0.042  ,     1498,      307,     1191
RG, 0.24645, 0.06074,     2256,      556,     1700
RH, 0.25249, 0.06375,      903,      228,      675
RI, 0.21499, 0.04622,     2321,      499,     1822
RK, 0.24386, 0.05947,     2604,      635,     1969
RL, 0.14888, 0.02216,     4010,      597,     3413
RM, 0.20147, 0.04059,      953,      192,      761
RN, 0.30889, 0.09541,     1541,      476,     1065
RP, 0.19055, 0.03631,     1333,      254,     1079
RQ, 0.23331, 0.05444,     1693,      395,     1298
RR, 0.26595, 0.07073,     2899,      771,     2128
RS, 0.2834 , 0.08031,     2156,      611,     1545
RT, 0.25255, 0.06378,     1766,      446,     1320
RV, 0.1504 , 0.02262,     2520,      379,     2141
RW, 0.20033, 0.04013,      614,      123,      491
RY, 0.25036, 0.06268,     1374,      344,     1030
R_, 0.20225, 0.0409 ,      178,       36,      142
SA, 0.13008, 0.01692,     2214,      288,     1926
SC, 0.12977, 0.01684,      393,       51,      342
SD, 0.09371, 0.00878,     1750,      164,     1586
SE, 0.08201, 0.00673,     2085,      171,     1914
SF, 0.12688, 0.0161 ,     1466,      186,     1280
SG, 0.10374, 0.01076,     2034,      211,     1823
SH, 0.14207, 0.02018,      725,      103,      622
SI, 0.12313, 0.01516,     1941,      239,     1702
SK, 0.16522, 0.0273 ,     2070,      342,     1728
SL, 0.11971, 0.01433,     3592,      430,     3162
SM, 0.14715, 0.02165,      666,       98,      568
SN, 0.1264 , 0.01598,     1519,      192,     1327
SP, 0.13217, 0.01747,     1551,      205,     1346
SQ, 0.12254, 0.01502,     1322,      162,     1160
SR, 0.18472, 0.03412,     2068,      382,     1686
SS, 0.11682, 0.01365,     2063,      241,     1822
ST, 0.11352, 0.01289,     1709,      194,     1515
SV, 0.1191 , 0.01418,     2351,      280,     2071
SW, 0.0905 , 0.00819,      442,       40,      402
SY, 0.10348, 0.01071,     1121,      116,     1005
S_, 0.16573, 0.02747,      356,       59,      297
TA, 0.10359, 0.01073,     1892,      196,     1696
TC, 0.08157, 0.00665,      331,       27,      304
TD, 0.0576 , 0.00332,     1250,       72,     1178
TE, 0.05237, 0.00274,     1795,       94,     1701
TF, 0.06964, 0.00485,     1235,       86,     1149
TG, 0.12069, 0.01457,     1740,      210,     1530
TH, 0.12939, 0.01674,      626,       81,      545
TI, 0.14222, 0.02023,     1807,      257,     1550
TK, 0.16913, 0.02861,     1691,      286,     1405
TL, 0.1063 , 0.0113 ,     3142,      334,     2808
TM, 0.13508, 0.01825,      533,       72,      461
TN, 0.13222, 0.01748,     1074,      142,      932
TP, 0.11437, 0.01308,     1329,      152,     1177
TQ, 0.175  , 0.03062,     1040,      182,      858
TR, 0.19901, 0.03961,     1623,      323,     1300
TS, 0.13698, 0.01876,     1701,      233,     1468
TT, 0.16359, 0.02676,     1192,      195,      997
TV, 0.14496, 0.02101,     1966,      285,     1681
TW, 0.07407, 0.00549,      378,       28,      350
TY, 0.11619, 0.0135 ,      766,       89,      677
T_, 0.06742, 0.00454,       89,        6,       83
VA, 0.04988, 0.00249,     2125,      106,     2019
VC, 0.02835, 0.0008 ,      388,       11,      377
VD, 0.03397, 0.00115,     1678,       57,     1621
VE, 0.02276, 0.00052,     2021,       46,     1975
VF, 0.05227, 0.00273,     1033,       54,      979
VG, 0.07761, 0.00602,     1791,      139,     1652
VH, 0.08463, 0.00716,      579,       49,      530
VI, 0.02998, 0.0009 ,     1401,       42,     1359
VK, 0.05524, 0.00305,     1955,      108,     1847
VL, 0.04167, 0.00174,     2712,      113,     2599
VM, 0.03482, 0.00121,      517,       18,      499
VN, 0.11467, 0.01315,     1343,      154,     1189
VP, 0.06692, 0.00448,     1599,      107,     1492
VQ, 0.06439, 0.00415,     1056,       68,      988
VR, 0.07658, 0.00586,     1802,      138,     1664
VS, 0.09365, 0.00877,     1922,      180,     1742
VT, 0.05194, 0.0027 ,     1444,       75,     1369
VV, 0.03396, 0.00115,     1855,       63,     1792
VW, 0.07186, 0.00516,      334,       24,      310
VY, 0.0439 , 0.00193,      934,       41,      893
V_, 0.05882, 0.00346,      119,        7,      112
WA, 0.10573, 0.01118,      454,       48,      406
WC, 0.12162, 0.01479,       74,        9,       65
WD, 0.07467, 0.00558,      375,       28,      347
WE, 0.05579, 0.00311,      484,       27,      457
WF, 0.20423, 0.04171,      284,       58,      226
WG, 0.15826, 0.02505,      436,       69,      367
WH, 0.16022, 0.02567,      181,       29,      152
WI, 0.11615, 0.01349,      353,       41,      312
WK, 0.23872, 0.05699,      532,      127,      405
WL, 0.10893, 0.01186,      661,       72,      589
WM, 0.06977, 0.00487,      129,        9,      120
WN, 0.16495, 0.02721,      291,       48,      243
WP, 0.12635, 0.01597,      277,       35,      242
WQ, 0.27405, 0.0751 ,      343,       94,      249
WR, 0.17438, 0.03041,      562,       98,      464
WS, 0.19231, 0.03698,      442,       85,      357
WT, 0.1828 , 0.03341,      372,       68,      304
WV, 0.12469, 0.01555,      401,       50,      351
WW, 0.24   , 0.0576 ,       75,       18,       57
WY, 0.115  , 0.01323,      200,       23,      177
W_, 0      , 0      ,       12,        0,       12
YA, 0.1431 , 0.02048,     1167,      167,     1000
YC, 0.07477, 0.00559,      214,       16,      198
YD, 0.11874, 0.0141 ,     1019,      121,      898
YE, 0.08614, 0.00742,     1219,      105,     1114
YF, 0.10325, 0.01066,      862,       89,      773
YG, 0.20645, 0.04262,     1303,      269,     1034
YH, 0.21616, 0.04673,      495,      107,      388
YI, 0.18236, 0.03326,     1168,      213,      955
YK, 0.15588, 0.0243 ,     1283,      200,     1083
YL, 0.1347 , 0.01814,     1752,      236,     1516
YM, 0.13105, 0.01718,      351,       46,      305
YN, 0.15094, 0.02278,      742,      112,      630
YP, 0.13913, 0.01936,      805,      112,      693
YQ, 0.10552, 0.01113,      815,       86,      729
YR, 0.18771, 0.03523,     1204,      226,      978
YS, 0.13188, 0.01739,     1145,      151,      994
YT, 0.14029, 0.01968,      834,      117,      717
YV, 0.14739, 0.02172,     1262,      186,     1076
YW, 0.0905 , 0.00819,      221,       20,      201
YY, 0.35247, 0.12423,      871,      307,      564
Y_, 0.08   , 0.0064 ,       50,        4,       46
