key, propensity, propensity^2, count, pos, neg
AA, 0.05917, 0.0035 ,     2873,      170,     2703
AC, 0.09867, 0.00974,      375,       37,      338
AD, 0.04331, 0.00188,     1778,       77,     1701
AE, 0.03474, 0.00121,     2792,       97,     2695
AF, 0.03247, 0.00105,     1201,       39,     1162
AG, 0.09199, 0.00846,     2098,      193,     1905
AH, 0.06233, 0.00388,      722,       45,      677
AI, 0.08111, 0.00658,     1800,      146,     1654
AK, 0.08381, 0.00702,     2291,      192,     2099
AL, 0.03828, 0.00147,     3553,      136,     3417
AM, 0.0672 , 0.00452,      744,       50,      694
AN, 0.06527, 0.00426,     1287,       84,     1203
AP, 0.05886, 0.00347,     1427,       84,     1343
AQ, 0.08062, 0.0065 ,     1538,      124,     1414
AR, 0.09254, 0.00856,     2280,      211,     2069
AS, 0.07423, 0.00551,     1940,      144,     1796
AT, 0.07183, 0.00516,     1615,      116,     1499
AV, 0.07927, 0.00628,     2359,      187,     2172
AW, 0.03886, 0.00151,      386,       15,      371
AY, 0.03548, 0.00126,      930,       33,      897
A_, 0.07407, 0.00549,      189,       14,      175
CA, 0.06667, 0.00444,      345,       23,      322
CC, 0.08197, 0.00672,       61,        5,       56
CD, 0.00932, 0.00009,      322,        3,      319
CE, 0.0229 , 0.00052,      393,        9,      384
CF, 0.04918, 0.00242,      244,       12,      232
CG, 0.07585, 0.00575,      501,       38,      463
CH, 0.07186, 0.00516,      167,       12,      155
CI, 0.09005, 0.00811,      211,       19,      192
CK, 0.07709, 0.00594,      454,       35,      419
CL, 0.02444, 0.0006 ,      491,       12,      479
CM, 0.01163, 0.00014,       86,        1,       85
CN, 0.0404 , 0.00163,      198,        8,      190
CP, 0.10037, 0.01007,      269,       27,      242
CQ, 0.01293, 0.00017,      232,        3,      229
CR, 0.07042, 0.00496,      355,       25,      330
CS, 0.06897, 0.00476,      319,       22,      297
CT, 0.05515, 0.00304,      272,       15,      257
CV, 0.03675, 0.00135,      381,       14,      367
CW, 0.2    , 0.04   ,       50,       10,       40
CY, 0.01724, 0.0003 ,      116,        2,      114
C_, 0.11111, 0.01235,        9,        1,        8
DA, 0.03227, 0.00104,     2138,       69,     2069
DC, 0.03483, 0.00121,      402,       14,      388
DD, 0.02554, 0.00065,     1723,       44,     1679
DE, 0.02265, 0.00051,     2252,       51,     2201
DF, 0.0393 , 0.00154,     1476,       58,     1418
DG, 0.08543, 0.0073 ,     1709,      146,     1563
DH, 0.0941 , 0.00885,      542,       51,      491
DI, 0.04875, 0.00238,     2072,      101,     1971
DK, 0.05308, 0.00282,     1978,      105,     1873
DL, 0.03494, 0.00122,     3377,      118,     3259
DM, 0.05345, 0.00286,      580,       31,      549
DN, 0.03163, 0.001  ,     1075,       34,     1041
DP, 0.04481, 0.00201,     1473,       66,     1407
DQ, 0.03583, 0.00128,      921,       33,      888
DR, 0.06587, 0.00434,     1837,      121,     1716
DS, 0.07229, 0.00523,     1826,      132,     1694
DT, 0.05572, 0.00311,     1328,       74,     1254
DV, 0.05503, 0.00303,     2235,      123,     2112
DW, 0.03425, 0.00117,      438,       15,      423
DY, 0.04836, 0.00234,     1096,       53,     1043
D_, 0.05469, 0.00299,      128,        7,      121
EA, 0.0307 , 0.00094,     3485,      107,     3378
EC, 0.04528, 0.00205,      530,       24,      506
ED, 0.02562, 0.00066,     2264,       58,     2206
