key, pos_ratio, pos_ratio^2, count, pos, neg
ALA, 0.04872, 0.00237,    13177,      642,    12535
CYS, 0.0708 , 0.00501,     3277,      232,     3045
ASP, 0.0591 , 0.00349,    14265,      843,    13422
GLU, 0.04985, 0.00248,    16851,      840,    16011
PHE, 0.10634, 0.01131,     8266,      879,     7387
GLY, 0.05091, 0.00259,    13867,      706,    13161
HIS, 0.08867, 0.00786,     5447,      483,     4964
ILE, 0.07326, 0.00537,    10524,      771,     9753
LYS, 0.05261, 0.00277,    15225,      801,    14424
LEU, 0.06739, 0.00454,    17954,     1210,    16744
MET, 0.08996, 0.00809,     4480,      403,     4077
ASN, 0.06124, 0.00375,    10892,      667,    10225
PRO, 0.04329, 0.00187,    10995,      476,    10519
GLN, 0.06027, 0.00363,    10254,      618,     9636
ARG, 0.07979, 0.00637,    12683,     1012,    11671
SER, 0.05376, 0.00289,    14453,      777,    13676
THR, 0.05166, 0.00267,    12311,      636,    11675
VAL, 0.06506, 0.00423,    12680,      825,    11855
TRP, 0.14011, 0.01963,     2969,      416,     2553
TYR, 0.1195 , 0.01428,     8435,     1008,     7427
