key, pos_ratio, pos_ratio^2, count, pos, neg
EQ, 0.04643, 0.00216,     1120,       52,     1068
ER, 0.03088, 0.00095,     1425,       44,     1381
ES, 0.04403, 0.00194,     1431,       63,     1368
ET, 0.0426 , 0.00181,     1338,       57,     1281
EV, 0.04807, 0.00231,     1914,       92,     1822
EW, 0.07969, 0.00635,      389,       31,      358
EY, 0.06394, 0.00409,      954,       61,      893
E_, 0.056  , 0.00314,      125,        7,      118
FA, 0.10453, 0.01093,      861,       90,      771
FC, 0.14902, 0.02221,      255,       38,      217
FD, 0.09795, 0.0096 ,      929,       91,      838
FE, 0.1    , 0.01   ,      910,       91,      819
FF, 0.09311, 0.00867,      537,       50,      487
FG, 0.12654, 0.01601,      972,      123,      849
FH, 0.11518, 0.01327,      382,       44,      338
FI, 0.08901, 0.00792,      764,       68,      696
FK, 0.10894, 0.01187,      872,       95,      777
FL, 0.10454, 0.01093,     1167,      122,     1045
FM, 0.12261, 0.01503,      261,       32,      229
FN, 0.09825, 0.00965,      743,       73,      670
FP, 0.09078, 0.00824,      694,       63,      631
FQ, 0.08581, 0.00736,      606,       52,      554
FR, 0.08289, 0.00687,      748,       62,      686
FS, 0.09309, 0.00867,     1042,       97,      945
FT, 0.08528, 0.00727,      856,       73,      783
FV, 0.10345, 0.0107 ,      899,       93,      806
FW, 0.09605, 0.00922,      177,       17,      160
FY, 0.1367 , 0.01869,      534,       73,      461
F_, 0.16279, 0.0265 ,       43,        7,       36
GA, 0.05137, 0.00264,     1499,       77,     1422
GC, 0.07828, 0.00613,      396,       31,      365
GD, 0.038  , 0.00144,     1579,       60,     1519
GE, 0.03601, 0.0013 ,     1583,       57,     1526
GF, 0.07383, 0.00545,      921,       68,      853
GG, 0.06846, 0.00469,     1563,      107,     1456
GH, 0.04062, 0.00165,      517,       21,      496
GI, 0.05986, 0.00358,     1136,       68,     1068
GK, 0.03079, 0.00095,     1429,       44,     1385
GL, 0.05358, 0.00287,     1941,      104,     1837
GM, 0.06526, 0.00426,      475,       31,      444
GN, 0.04373, 0.00191,     1189,       52,     1137
GP, 0.02455, 0.0006 ,     1100,       27,     1073
GQ, 0.03741, 0.0014 ,      989,       37,      952
GR, 0.04968, 0.00247,     1248,       62,     1186
GS, 0.05318, 0.00283,     1730,       92,     1638
GT, 0.05301, 0.00281,     1396,       74,     1322
GV, 0.05154, 0.00266,     1397,       72,     1325
GW, 0.11254, 0.01267,      311,       35,      276
GY, 0.06713, 0.00451,      864,       58,      806
G_, 0.01754, 0.00031,      171,        3,      168
HA, 0.14109, 0.01991,      567,       80,      487
HC, 0.09645, 0.0093 ,      197,       19,      178
HD, 0.09174, 0.00842,      436,       40,      396
HE, 0.1    , 0.01   ,      540,       54,      486
HF, 0.07346, 0.0054 ,      422,       31,      391
HG, 0.11246, 0.01265,      578,       65,      513
HH, 0.04025, 0.00162,      323,       13,      310
HI, 0.09488, 0.009  ,      527,       50,      477
HK, 0.07835, 0.00614,      485,       38,      447
HL, 0.06548, 0.00429,      901,       59,      842
HM, 0.08714, 0.00759,      241,       21,      220
HN, 0.09444, 0.00892,      360,       34,      326
HP, 0.07126, 0.00508,      435,       31,      404
HQ, 0.0929 , 0.00863,      366,       34,      332
HR, 0.06413, 0.00411,      421,       27,      394
HS, 0.11053, 0.01222,      570,       63,      507
HT, 0.10268, 0.01054,      448,       46,      402
HV, 0.1082 , 0.01171,      573,       62,      511
HW, 0.14706, 0.02163,      102,       15,       87
HY, 0.0745 , 0.00555,      349,       26,      323
H_, 0      , 0      ,       47,        0,       47
IA, 0.06265, 0.00392,     1277,       80,     1197
IC, 0.08307, 0.0069 ,      313,       26,      287
ID, 0.06439, 0.00415,     1258,       81,     1177
IE, 0.06523, 0.00426,     1303,       85,     1218
IF, 0.05447, 0.00297,      716,       39,      677
IG, 0.08113, 0.00658,     1208,       98,     1110
IH, 0.05312, 0.00282,      433,       23,      410
II, 0.07065, 0.00499,      920,       65,      855
IK, 0.06183, 0.00382,     1213,       75,     1138
IL, 0.06905, 0.00477,     1593,      110,     1483
IM, 0.07494, 0.00562,      387,       29,      358
IN, 0.06974, 0.00486,     1018,       71,      947
IP, 0.06977, 0.00487,      946,       66,      880
IQ, 0.05949, 0.00354,      790,       47,      743
IR, 0.06198, 0.00384,      968,       60,      908
IS, 0.0763 , 0.00582,     1232,       94,     1138
IT, 0.06958, 0.00484,     1121,       78,     1043
IV, 0.04601, 0.00212,     1152,       53,     1099
IW, 0.07075, 0.00501,      212,       15,      197
IY, 0.07797, 0.00608,      590,       46,      544
I_, 0.0625 , 0.00391,       48,        3,       45
KA, 0.06048, 0.00366,     1703,      103,     1600
KC, 0.05627, 0.00317,      391,       22,      369
KD, 0.04215, 0.00178,     1566,       66,     1500
KE, 0.04836, 0.00234,     1923,       93,     1830
KF, 0.0691 , 0.00478,     1013,       70,      943
KG, 0.05103, 0.0026 ,     1548,       79,     1469
KH, 0.06237, 0.00389,      497,       31,      466
KI, 0.06271, 0.00393,     1515,       95,     1420
KK, 0.05216, 0.00272,     1572,       82,     1490
KL, 0.06293, 0.00396,     2495,      157,     2338
KM, 0.06061, 0.00367,      561,       34,      527
KN, 0.05635, 0.00318,     1118,       63,     1055
KP, 0.0326 , 0.00106,     1043,       34,     1009
KQ, 0.04221, 0.00178,      924,       39,      885
KR, 0.05291, 0.0028 ,     1134,       60,     1074
KS, 0.05964, 0.00356,     1375,       82,     1293
KT, 0.05242, 0.00275,     1240,       65,     1175
KV, 0.06321, 0.004  ,     1677,      106,     1571
KW, 0.06354, 0.00404,      362,       23,      339
KY, 0.04195, 0.00176,      882,       37,      845
K_, 0.02479, 0.00061,      121,        3,      118
LA, 0.06011, 0.00361,     2329,      140,     2189
LC, 0.10878, 0.01183,      524,       57,      467
LD, 0.05992, 0.00359,     1986,      119,     1867
LE, 0.05823, 0.00339,     2284,      133,     2151
LF, 0.07665, 0.00588,     1122,       86,     1036
LG, 0.07685, 0.00591,     1991,      153,     1838
LH, 0.0664 , 0.00441,      738,       49,      689
LI, 0.0706 , 0.00498,     1558,      110,     1448
LK, 0.07061, 0.00499,     2096,      148,     1948
LL, 0.06452, 0.00416,     2883,      186,     2697
LM, 0.06051, 0.00366,      628,       38,      590
LN, 0.05922, 0.00351,     1469,       87,     1382
LP, 0.04281, 0.00183,     1635,       70,     1565
LQ, 0.05452, 0.00297,     1449,       79,     1370
LR, 0.04989, 0.00249,     1764,       88,     1676
LS, 0.06492, 0.00421,     2141,      139,     2002
LT, 0.06126, 0.00375,     1812,      111,     1701
LV, 0.05952, 0.00354,     1949,      116,     1833
LW, 0.04615, 0.00213,      325,       15,      310
LY, 0.06196, 0.00384,     1033,       64,      969
L_, 0.06122, 0.00375,       98,        6,       92
MA, 0.07799, 0.00608,      577,       45,      532
MC, 0.09091, 0.00826,      132,       12,      120
MD, 0.07895, 0.00623,      494,       39,      455
ME, 0.06835, 0.00467,      556,       38,      518
MF, 0.08519, 0.00726,      270,       23,      247
MG, 0.09862, 0.00973,      507,       50,      457
MH, 0.07965, 0.00634,      226,       18,      208
MI, 0.11842, 0.01402,      380,       45,      335
MK, 0.07629, 0.00582,      485,       37,      448
ML, 0.10283, 0.01057,      671,       69,      602
MM, 0.16667, 0.02778,      180,       30,      150
MN, 0.09714, 0.00944,      350,       34,      316
MP, 0.09554, 0.00913,      314,       30,      284
MQ, 0.1    , 0.01   ,      360,       36,      324
MR, 0.07493, 0.00561,      347,       26,      321
MS, 0.07975, 0.00636,      489,       39,      450
MT, 0.10256, 0.01052,      390,       40,      350
MV, 0.09128, 0.00833,      493,       45,      448
MW, 0.06796, 0.00462,      103,        7,       96
MY, 0.1073 , 0.01151,      233,       25,      208
M_, 0.04444, 0.00198,      135,        6,      129
NA, 0.06996, 0.00489,     1115,       78,     1037
NC, 0.03514, 0.00124,      313,       11,      302
ND, 0.04679, 0.00219,      919,       43,      876
NE, 0.04112, 0.00169,     1216,       50,     1166
NF, 0.05831, 0.0034 ,      806,       47,      759
NG, 0.07793, 0.00607,     1296,      101,     1195
NH, 0.06443, 0.00415,      357,       23,      334
NI, 0.07357, 0.00541,     1169,       86,     1083
NK, 0.04471, 0.002  ,     1096,       49,     1047
NL, 0.06309, 0.00398,     1696,      107,     1589
NM, 0.06266, 0.00393,      383,       24,      359
NN, 0.05769, 0.00333,      832,       48,      784
NP, 0.05967, 0.00356,      905,       54,      851
NQ, 0.05806, 0.00337,      689,       40,      649
NR, 0.06786, 0.0046 ,      840,       57,      783
NS, 0.0728 , 0.0053 ,     1044,       76,      968
NT, 0.06202, 0.00385,      903,       56,      847
NV, 0.07224, 0.00522,     1232,       89,     1143
NW, 0.05682, 0.00323,      264,       15,      249
NY, 0.07518, 0.00565,      705,       53,      652
N_, 0.0375 , 0.00141,       80,        3,       77
PA, 0.0376 , 0.00141,     1117,       42,     1075
PC, 0.04516, 0.00204,      310,       14,      296
PD, 0.0394 , 0.00155,     1193,       47,     1146
PE, 0.03613, 0.00131,     1301,       47,     1254
PF, 0.05841, 0.00341,      719,       42,      677
PG, 0.0413 , 0.00171,     1138,       47,     1091
PH, 0.03073, 0.00094,      423,       13,      410
PI, 0.05906, 0.00349,     1016,       60,      956
PK, 0.03956, 0.00157,     1011,       40,      971
PL, 0.03599, 0.0013 ,     1695,       61,     1634
PM, 0.08   , 0.0064 ,      325,       26,      299
PN, 0.03583, 0.00128,      893,       32,      861
PP, 0.02823, 0.0008 ,      992,       28,      964
PQ, 0.02667, 0.00071,      675,       18,      657
PR, 0.04833, 0.00234,      869,       42,      827
PS, 0.0402 , 0.00162,     1194,       48,     1146
PT, 0.04869, 0.00237,     1027,       50,      977
PV, 0.05452, 0.00297,     1284,       70,     1214
PW, 0.05462, 0.00298,      238,       13,      225
PY, 0.05449, 0.00297,      624,       34,      590
P_, 0.0566 , 0.0032 ,      106,        6,      100
QA, 0.07351, 0.0054 ,     1238,       91,     1147
QC, 0.09434, 0.0089 ,      318,       30,      288
QD, 0.06208, 0.00385,      886,       55,      831
QE, 0.06115, 0.00374,     1112,       68,     1044
QF, 0.05255, 0.00276,      685,       36,      649
QG, 0.06373, 0.00406,     1067,       68,      999
QH, 0.09214, 0.00849,      369,       34,      335
QI, 0.07113, 0.00506,      956,       68,      888
QK, 0.05391, 0.00291,      909,       49,      860
QL, 0.05889, 0.00347,     1732,      102,     1630
QM, 0.08354, 0.00698,      407,       34,      373
QN, 0.05355, 0.00287,      691,       37,      654
QP, 0.0521 , 0.00271,      691,       36,      655
QQ, 0.04819, 0.00232,      913,       44,      869
QR, 0.05489, 0.00301,      838,       46,      792
QS, 0.05777, 0.00334,     1004,       58,      946
QT, 0.06773, 0.00459,      812,       55,      757
QV, 0.07552, 0.0057 ,     1152,       87,     1065
QW, 0.08163, 0.00666,      245,       20,      225
QY, 0.05482, 0.003  ,      602,       33,      569
Q_, 0.03896, 0.00152,       77,        3,       74
RA, 0.07343, 0.00539,     1389,      102,     1287
RC, 0.07769, 0.00604,      399,       31,      368
RD, 0.07118, 0.00507,     1138,       81,     1057
RE, 0.06918, 0.00479,     1431,       99,     1332
RF, 0.06659, 0.00443,      856,       57,      799
RG, 0.10028, 0.01006,     1406,      141,     1265
RH, 0.0711 , 0.00506,      436,       31,      405
RI, 0.09992, 0.00998,     1201,      120,     1081
RK, 0.08046, 0.00647,     1131,       91,     1040
RL, 0.07388, 0.00546,     2125,      157,     1968
RM, 0.10353, 0.01072,      425,       44,      381
RN, 0.09524, 0.00907,      861,       82,      779
RP, 0.07606, 0.00579,      894,       68,      826
RQ, 0.06651, 0.00442,      842,       56,      786
RR, 0.09488, 0.009  ,     1075,      102,      973
RS, 0.08481, 0.00719,     1238,      105,     1133
RT, 0.09174, 0.00842,      981,       90,      891
RV, 0.08032, 0.00645,     1519,      122,     1397
RW, 0.08278, 0.00685,      302,       25,      277
RY, 0.08767, 0.00769,      787,       69,      718
R_, 0.03846, 0.00148,       78,        3,       75
SA, 0.05253, 0.00276,     1542,       81,     1461
SC, 0.03744, 0.0014 ,      454,       17,      437
SD, 0.05108, 0.00261,     1390,       71,     1319
SE, 0.04532, 0.00205,     1368,       62,     1306
SF, 0.07539, 0.00568,     1101,       83,     1018
SG, 0.0529 , 0.0028 ,     1796,       95,     1701
SH, 0.05818, 0.00339,      550,       32,      518
SI, 0.07709, 0.00594,     1362,      105,     1257
SK, 0.03419, 0.00117,     1316,       45,     1271
SL, 0.05104, 0.00261,     2351,      120,     2231
SM, 0.07241, 0.00524,      511,       37,      474
SN, 0.0472 , 0.00223,     1017,       48,      969
SP, 0.03361, 0.00113,     1190,       40,     1150
SQ, 0.04393, 0.00193,      956,       42,      914
SR, 0.04174, 0.00174,     1150,       48,     1102
SS, 0.07197, 0.00518,     1723,      124,     1599
ST, 0.05605, 0.00314,     1231,       69,     1162
SV, 0.05404, 0.00292,     1647,       89,     1558
SW, 0.07988, 0.00638,      338,       27,      311
SY, 0.06188, 0.00383,      905,       56,      849
S_, 0.05789, 0.00335,      190,       11,      179
TA, 0.0544 , 0.00296,     1342,       73,     1269
TC, 0.05607, 0.00314,      321,       18,      303
TD, 0.04142, 0.00172,     1159,       48,     1111
TE, 0.04264, 0.00182,     1290,       55,     1235
TF, 0.05468, 0.00299,      951,       52,      899
TG, 0.05882, 0.00346,     1462,       86,     1376
TH, 0.02392, 0.00057,      418,       10,      408
TI, 0.05428, 0.00295,     1308,       71,     1237
TK, 0.04878, 0.00238,     1189,       58,     1131
TL, 0.05022, 0.00252,     2051,      103,     1948
TM, 0.05399, 0.00291,      426,       23,      403
TN, 0.0504 , 0.00254,      873,       44,      829
TP, 0.03291, 0.00108,     1033,       34,      999
TQ, 0.05381, 0.0029 ,      762,       41,      721
TR, 0.0719 , 0.00517,      918,       66,      852
TS, 0.06336, 0.00401,     1231,       78,     1153
TT, 0.07666, 0.00588,     1174,       90,     1084
TV, 0.04161, 0.00173,     1538,       64,     1474
TW, 0.05921, 0.00351,      304,       18,      286
TY, 0.0625 , 0.00391,      768,       48,      720
T_, 0.13333, 0.01778,       60,        8,       52
VA, 0.06654, 0.00443,     1578,      105,     1473
VC, 0.05833, 0.0034 ,      360,       21,      339
VD, 0.05789, 0.00335,     1382,       80,     1302
VE, 0.05182, 0.00269,     1621,       84,     1537
VF, 0.06587, 0.00434,      835,       55,      780
VG, 0.07332, 0.00538,     1473,      108,     1365
VH, 0.06624, 0.00439,      468,       31,      437
VI, 0.04889, 0.00239,     1166,       57,     1109
VK, 0.06647, 0.00442,     1354,       90,     1264
VL, 0.05657, 0.0032 ,     1962,      111,     1851
VM, 0.06591, 0.00434,      440,       29,      411
VN, 0.04766, 0.00227,     1070,       51,     1019
VP, 0.0562 , 0.00316,     1210,       68,     1142
VQ, 0.06139, 0.00377,      961,       59,      902
VR, 0.0637 , 0.00406,     1193,       76,     1117
VS, 0.06454, 0.00417,     1472,       95,     1377
VT, 0.05593, 0.00313,     1323,       74,     1249
VV, 0.05798, 0.00336,     1535,       89,     1446
VW, 0.08898, 0.00792,      236,       21,      215
VY, 0.07977, 0.00636,      702,       56,      646
V_, 0.03175, 0.00101,       63,        2,       61
WA, 0.12759, 0.01628,      290,       37,      253
WC, 0.14943, 0.02233,       87,       13,       74
WD, 0.12537, 0.01572,      335,       42,      293
WE, 0.14441, 0.02086,      367,       53,      314
WF, 0.14925, 0.02228,      201,       30,      171
WG, 0.19505, 0.03805,      364,       71,      293
WH, 0.15888, 0.02524,      107,       17,       90
WI, 0.0814 , 0.00663,      258,       21,      237
WK, 0.15596, 0.02432,      327,       51,      276
WL, 0.11549, 0.01334,      381,       44,      337
WM, 0.13913, 0.01936,      115,       16,       99
WN, 0.14397, 0.02073,      257,       37,      220
WP, 0.09053, 0.0082 ,      243,       22,      221
WQ, 0.15086, 0.02276,      232,       35,      197
WR, 0.1338 , 0.0179 ,      284,       38,      246
WS, 0.16716, 0.02794,      341,       57,      284
WT, 0.13419, 0.01801,      313,       42,      271
WV, 0.15   , 0.0225 ,      300,       45,      255
WW, 0.19481, 0.03795,       77,       15,       62
WY, 0.17347, 0.03009,      196,       34,      162
W_, 0.22222, 0.04938,        9,        2,        7
YA, 0.10458, 0.01094,      851,       89,      762
YC, 0.1661 , 0.02759,      295,       49,      246
YD, 0.13082, 0.01711,      902,      118,      784
YE, 0.11221, 0.01259,      909,      102,      807
YF, 0.13787, 0.01901,      602,       83,      519
YG, 0.1569 , 0.02462,     1007,      158,      849
YH, 0.10417, 0.01085,      336,       35,      301
YI, 0.11565, 0.01337,      735,       85,      650
YK, 0.08827, 0.00779,      827,       73,      754
YL, 0.12399, 0.01537,     1242,      154,     1088
YM, 0.12648, 0.016  ,      253,       32,      221
YN, 0.12627, 0.01594,      689,       87,      602
YP, 0.12733, 0.01621,      644,       82,      562
YQ, 0.07652, 0.00586,      575,       44,      531
YR, 0.12264, 0.01504,      742,       91,      651
YS, 0.10968, 0.01203,      930,      102,      828
YT, 0.12843, 0.01649,      802,      103,      699
YV, 0.11596, 0.01345,      871,      101,      770
YW, 0.11443, 0.01309,      201,       23,      178
YY, 0.15298, 0.0234 ,      621,       95,      526
Y_, 0.05882, 0.00346,       34,        2,       32
