key, pos_ratio, pos_ratio^2, count, pos, neg
AA, 0.03878, 0.0015 ,     1934,       75,     1859
AC, 0.04986, 0.00249,      361,       18,      343
AD, 0.03881, 0.00151,     1340,       52,     1288
AE, 0.0428 , 0.00183,     1659,       71,     1588
AF, 0.07882, 0.00621,      812,       64,      748
AG, 0.0591 , 0.00349,     1489,       88,     1401
AH, 0.0583 , 0.0034 ,      446,       26,      420
AI, 0.05316, 0.00283,     1204,       64,     1140
AK, 0.03259, 0.00106,     1381,       45,     1336
AL, 0.0457 , 0.00209,     2188,      100,     2088
AM, 0.03795, 0.00144,      527,       20,      507
AN, 0.04708, 0.00222,      977,       46,      931
AP, 0.03772, 0.00142,     1034,       39,      995
AQ, 0.04859, 0.00236,     1029,       50,      979
AR, 0.03095, 0.00096,     1131,       35,     1096
AS, 0.04102, 0.00168,     1414,       58,     1356
AT, 0.04415, 0.00195,     1223,       54,     1169
AV, 0.05221, 0.00273,     1513,       79,     1434
AW, 0.06504, 0.00423,      246,       16,      230
AY, 0.05365, 0.00288,      671,       36,      635
A_, 0.0315 , 0.00099,      127,        4,      123
CA, 0.05946, 0.00354,      370,       22,      348
CC, 0.11905, 0.01417,      126,       15,      111
CD, 0.07471, 0.00558,      348,       26,      322
CE, 0.04167, 0.00174,      360,       15,      345
CF, 0.05761, 0.00332,      243,       14,      229
CG, 0.11194, 0.01253,      402,       45,      357
CH, 0.08125, 0.0066 ,      160,       13,      147
CI, 0.08581, 0.00736,      303,       26,      277
CK, 0.02985, 0.00089,      335,       10,      325
CL, 0.05   , 0.0025 ,      520,       26,      494
CM, 0.05882, 0.00346,      119,        7,      112
CN, 0.03435, 0.00118,      262,        9,      253
CP, 0.07358, 0.00541,      299,       22,      277
CQ, 0.04943, 0.00244,      263,       13,      250
CR, 0.04893, 0.00239,      327,       16,      311
CS, 0.04187, 0.00175,      406,       17,      389
CT, 0.06985, 0.00488,      272,       19,      253
CV, 0.08587, 0.00737,      361,       31,      330
CW, 0.09231, 0.00852,       65,        6,       59
CY, 0.10268, 0.01054,      224,       23,      201
C_, 0.05263, 0.00277,       19,        1,       18
DA, 0.04247, 0.0018 ,     1554,       66,     1488
DC, 0.10474, 0.01097,      401,       42,      359
DD, 0.07223, 0.00522,     1246,       90,     1156
DE, 0.07987, 0.00638,     1565,      125,     1440
DF, 0.05973, 0.00357,     1038,       62,      976
DG, 0.05347, 0.00286,     1702,       91,     1611
DH, 0.06393, 0.00409,      438,       28,      410
DI, 0.0576 , 0.00332,     1441,       83,     1358
DK, 0.04231, 0.00179,     1560,       66,     1494
DL, 0.05381, 0.0029 ,     2230,      120,     2110
DM, 0.06273, 0.00394,      542,       34,      508
DN, 0.05   , 0.0025 ,      920,       46,      874
DP, 0.05198, 0.0027 ,     1212,       63,     1149
DQ, 0.06057, 0.00367,      875,       53,      822
DR, 0.0557 , 0.0031 ,     1131,       63,     1068
DS, 0.05752, 0.00331,     1443,       83,     1360
DT, 0.05565, 0.0031 ,     1186,       66,     1120
DV, 0.06184, 0.00382,     1617,      100,     1517
DW, 0.07375, 0.00544,      339,       25,      314
DY, 0.06494, 0.00422,      924,       60,      864
D_, 0.04167, 0.00174,       96,        4,       92
EA, 0.0501 , 0.00251,     1996,      100,     1896
EC, 0.07639, 0.00584,      432,       33,      399
ED, 0.06807, 0.00463,     1572,      107,     1465
EE, 0.04843, 0.00235,     2168,      105,     2063
EF, 0.07143, 0.0051 ,     1050,       75,      975
EG, 0.05137, 0.00264,     1713,       88,     1625
EH, 0.08425, 0.0071 ,      546,       46,      500
EI, 0.06856, 0.0047 ,     1517,      104,     1413
EK, 0.03243, 0.00105,     1912,       62,     1850
EL, 0.05444, 0.00296,     2700,      147,     2553
EM, 0.04114, 0.00169,      632,       26,      606
EN, 0.03925, 0.00154,     1223,       48,     1175
EP, 0.05551, 0.00308,     1333,       74,     1259
