key, P864  , PP_S1070, PP_SA870
FM, 0.12261, 0.13836,  0.14173
FN, 0.09825, 0.10393,  0.10803
FP, 0.09078, 0.09524,  0.08846
FQ, 0.08581, 0.09129,  0.08904
FR, 0.08289, 0.08625,  0.08895
FS, 0.09309, 0.09326,  0.09586
FT, 0.08528, 0.08873,  0.08786
FV, 0.10345, 0.10308,  0.10597
FW, 0.09605, 0.09314,  0.10526
FY, 0.1367 , 0.13523,  0.13319
F_, 0.16279, 0.12963,  0.09091
GA, 0.05137, 0.05408,  0.05078
GC, 0.07828, 0.08333,  0.07479
GD, 0.038  , 0.04112,  0.04247
GE, 0.03601, 0.034  ,  0.03516
GF, 0.07383, 0.07605,  0.08422
GG, 0.06846, 0.06699,  0.06662
GH, 0.04062, 0.04944,  0.04247
GI, 0.05986, 0.05847,  0.05717
GK, 0.03079, 0.03125,  0.03355
GL, 0.05358, 0.0549 ,  0.05449
GM, 0.06526, 0.0696 ,  0.07726
GN, 0.04373, 0.04345,  0.04468
GP, 0.02455, 0.02628,  0.03016
GQ, 0.03741, 0.03959,  0.04487
GR, 0.04968, 0.05137,  0.05349
GS, 0.05318, 0.0494 ,  0.04739
GT, 0.05301, 0.05209,  0.05279
GV, 0.05154, 0.05525,  0.05323
GW, 0.11254, 0.10615,  0.10333
GY, 0.06713, 0.06855,  0.07011
G_, 0.01754, 0.01442,  0.01183
HA, 0.14109, 0.12813,  0.11654
HC, 0.09645, 0.08621,  0.07853
HD, 0.09174, 0.09634,  0.09535
HE, 0.1    , 0.09285,  0.08807
HF, 0.07346, 0.07393,  0.07601
HG, 0.11246, 0.10907,  0.11424
HH, 0.04025, 0.0458 ,  0.04678
HI, 0.09488, 0.09204,  0.09021
HK, 0.07835, 0.08528,  0.08434
HL, 0.06548, 0.06745,  0.06448
HM, 0.08714, 0.07857,  0.07048
HN, 0.09444, 0.08744,  0.08056
HP, 0.07126, 0.07034,  0.07944
HQ, 0.0929 , 0.09375,  0.08511
HR, 0.06413, 0.06111,  0.05134
HS, 0.11053, 0.10282,  0.10935
HT, 0.10268, 0.10949,  0.10619
HV, 0.1082 , 0.09504,  0.09735
HW, 0.14706, 0.14615,  0.15315
HY, 0.0745 , 0.08333,  0.0847
H_, 0      , 0      ,  0
IA, 0.06265, 0.07665,  0.0752
IC, 0.08307, 0.0896 ,  0.09894
ID, 0.06439, 0.07153,  0.07607
IE, 0.06523, 0.06689,  0.06914
IF, 0.05447, 0.0665 ,  0.07109
IG, 0.08113, 0.08003,  0.08341
IH, 0.05312, 0.06554,  0.05744
II, 0.07065, 0.07882,  0.07927
IK, 0.06183, 0.06706,  0.06835
IL, 0.06905, 0.07744,  0.08048
IM, 0.07494, 0.07901,  0.08078
IN, 0.06974, 0.07613,  0.08017
IP, 0.06977, 0.06774,  0.05987
IQ, 0.05949, 0.06608,  0.06939
IR, 0.06198, 0.06745,  0.07135
IS, 0.0763 , 0.08388,  0.0853
IT, 0.06958, 0.0768 ,  0.07859
IV, 0.04601, 0.05634,  0.0666
IW, 0.07075, 0.07143,  0.07882
IY, 0.07797, 0.09428,  0.10476
I_, 0.0625 , 0.06557,  0.02128
KA, 0.06048, 0.05894,  0.05529
KC, 0.05627, 0.05328,  0.04178
KD, 0.04215, 0.03722,  0.0405
KE, 0.04836, 0.04557,  0.0425
KF, 0.0691 , 0.07189,  0.07574
KG, 0.05103, 0.04791,  0.04917
KH, 0.06237, 0.06109,  0.05792
KI, 0.06271, 0.06082,  0.06233
KK, 0.05216, 0.051  ,  0.05089
KL, 0.06293, 0.0588 ,  0.05804
KM, 0.06061, 0.05462,  0.05027
KN, 0.05635, 0.06176,  0.05839
KP, 0.0326 , 0.03226,  0.03287
KQ, 0.04221, 0.04087,  0.03767
KR, 0.05291, 0.04888,  0.04355
KS, 0.05964, 0.05736,  0.05502
KT, 0.05242, 0.0502 ,  0.05056
KV, 0.06321, 0.05913,  0.0584
KW, 0.06354, 0.06338,  0.06407
KY, 0.04195, 0.04611,  0.04895
K_, 0.02479, 0.02597,  0.02521
LA, 0.06011, 0.06535,  0.06351
LC, 0.10878, 0.10738,  0.09816
LD, 0.05992, 0.06446,  0.0659
LE, 0.05823, 0.06015,  0.05871
LF, 0.07665, 0.08445,  0.08234
LG, 0.07685, 0.0776 ,  0.07667
LH, 0.0664 , 0.07543,  0.08116
LI, 0.0706 , 0.07628,  0.07197
LK, 0.07061, 0.07395,  0.07608
LL, 0.06452, 0.07455,  0.07897
LM, 0.06051, 0.06215,  0.06344
LN, 0.05922, 0.05649,  0.05385
LP, 0.04281, 0.04951,  0.04981
LQ, 0.05452, 0.05633,  0.05747
LR, 0.04989, 0.05864,  0.06088
LS, 0.06492, 0.06697,  0.06642
LT, 0.06126, 0.0669 ,  0.06971
LV, 0.05952, 0.06749,  0.06708
LW, 0.04615, 0.04885,  0.04594
LY, 0.06196, 0.06967,  0.07055
L_, 0.06122, 0.05385,  0.06863
MA, 0.07799, 0.08157,  0.08007
MC, 0.09091, 0.09524,  0.10435
MD, 0.07895, 0.07624,  0.07895
ME, 0.06835, 0.07276,  0.074
MF, 0.08519, 0.10127,  0.09843
MG, 0.09862, 0.09444,  0.09651
MH, 0.07965, 0.08   ,  0.07653
MI, 0.11842, 0.11404,  0.1061
MK, 0.07629, 0.067  ,  0.06397
ML, 0.10283, 0.09756,  0.09783
MM, 0.16667, 0.15837,  0.17978
MN, 0.09714, 0.0978 ,  0.09821
MP, 0.09554, 0.09511,  0.10738
MQ, 0.1    , 0.09615,  0.11144
MR, 0.07493, 0.0782 ,  0.08807
MS, 0.07975, 0.07679,  0.07547
MT, 0.10256, 0.10245,  0.10354
MV, 0.09128, 0.10035,  0.09937
MW, 0.06796, 0.06604,  0.06977
MY, 0.1073 , 0.10465,  0.10825
M_, 0.04444, 0.05   ,  0.05882
NA, 0.06996, 0.06804,  0.0631
NC, 0.03514, 0.03714,  0.03754
ND, 0.04679, 0.04766,  0.05044
NE, 0.04112, 0.04362,  0.04542
NF, 0.05831, 0.05865,  0.0653
NG, 0.07793, 0.07391,  0.07425
NH, 0.06443, 0.06935,  0.06111
NI, 0.07357, 0.07053,  0.07254
NK, 0.04471, 0.04693,  0.04871
NL, 0.06309, 0.06003,  0.05412
NM, 0.06266, 0.05945,  0.05836
NN, 0.05769, 0.05587,  0.05508
NP, 0.05967, 0.05909,  0.06
NQ, 0.05806, 0.05635,  0.05979
NR, 0.06786, 0.0679 ,  0.06965
NS, 0.0728 , 0.06698,  0.06816
NT, 0.06202, 0.06581,  0.07264
NV, 0.07224, 0.07138,  0.07143
NW, 0.05682, 0.05573,  0.05469
NY, 0.07518, 0.07547,  0.06949
N_, 0.0375 , 0.04124,  0.025
PA, 0.0376 , 0.03955,  0.04136
PC, 0.04516, 0.04271,  0.05167
PD, 0.0394 , 0.03727,  0.03518
PE, 0.03613, 0.03544,  0.03413
PF, 0.05841, 0.06459,  0.06108
PG, 0.0413 , 0.04097,  0.04363
PH, 0.03073, 0.02964,  0.02941
PI, 0.05906, 0.05494,  0.05435
PK, 0.03956, 0.03615,  0.03542
PL, 0.03599, 0.0431 ,  0.0396
PM, 0.08   , 0.07812,  0.08626
PN, 0.03583, 0.03857,  0.04323
PP, 0.02823, 0.02961,  0.03279
PQ, 0.02667, 0.02657,  0.02761
PR, 0.04833, 0.05104,  0.04707
PS, 0.0402 , 0.03964,  0.03823
PT, 0.04869, 0.04677,  0.05103
PV, 0.05452, 0.05311,  0.0539
PW, 0.05462, 0.05442,  0.0641
PY, 0.05449, 0.0535 ,  0.0566
P_, 0.0566 , 0.05147,  0.05556
QA, 0.07351, 0.07143,  0.0749
QC, 0.09434, 0.09024,  0.09524
QD, 0.06208, 0.05782,  0.05875
QE, 0.06115, 0.0529 ,  0.05516
QF, 0.05255, 0.05006,  0.05444
QG, 0.06373, 0.06265,  0.06256
QH, 0.09214, 0.08515,  0.08333
QI, 0.07113, 0.07149,  0.07427
QK, 0.05391, 0.05067,  0.05275
QL, 0.05889, 0.05717,  0.059
QM, 0.08354, 0.07905,  0.08173
QN, 0.05355, 0.05418,  0.05596
QP, 0.0521 , 0.04812,  0.04662
QQ, 0.04819, 0.04488,  0.05288
QR, 0.05489, 0.05517,  0.05656
QS, 0.05777, 0.0551 ,  0.06048
QT, 0.06773, 0.06212,  0.06405
QV, 0.07552, 0.07163,  0.07368
QW, 0.08163, 0.07823,  0.09244
QY, 0.05482, 0.0542 ,  0.05498
Q_, 0.03896, 0.04167,  0.0274
RA, 0.07343, 0.07244,  0.07271
RC, 0.07769, 0.07332,  0.06345
RD, 0.07118, 0.07025,  0.07328
RE, 0.06918, 0.07057,  0.0695
RF, 0.06659, 0.06635,  0.06909
RG, 0.10028, 0.09629,  0.09524
RH, 0.0711 , 0.07105,  0.06223
RI, 0.09992, 0.09875,  0.09885
RK, 0.08046, 0.07213,  0.06824
RL, 0.07388, 0.07226,  0.07004
RM, 0.10353, 0.09515,  0.09447
RN, 0.09524, 0.09564,  0.08602
RP, 0.07606, 0.07059,  0.07253
RQ, 0.06651, 0.06594,  0.05913
RR, 0.09488, 0.08927,  0.08854
RS, 0.08481, 0.08371,  0.08407
RT, 0.09174, 0.08762,  0.08753
RV, 0.08032, 0.07955,  0.07657
RW, 0.08278, 0.07967,  0.08143
RY, 0.08767, 0.09165,  0.09427
R_, 0.03846, 0.04396,  0.05333
SA, 0.05253, 0.0545 ,  0.05607
SC, 0.03744, 0.0458 ,  0.05025
SD, 0.05108, 0.05066,  0.05142
SE, 0.04532, 0.04843,  0.05075
SF, 0.07539, 0.07464,  0.07324
SG, 0.0529 , 0.04949,  0.04773
SH, 0.05818, 0.05357,  0.05773
SI, 0.07709, 0.07928,  0.07668
SK, 0.03419, 0.03601,  0.03803
SL, 0.05104, 0.05252,  0.05438
SM, 0.07241, 0.06321,  0.06031
SN, 0.0472 , 0.04167,  0.04238
SP, 0.03361, 0.03453,  0.03098
SQ, 0.04393, 0.04159,  0.0419
SR, 0.04174, 0.04054,  0.04541
SS, 0.07197, 0.0666 ,  0.07022
ST, 0.05605, 0.06052,  0.06422
SV, 0.05404, 0.05396,  0.05534
SW, 0.07988, 0.07487,  0.07213
SY, 0.06188, 0.06567,  0.06691
S_, 0.05789, 0.0543 ,  0.06145
TA, 0.0544 , 0.05253,  0.056
TC, 0.05607, 0.04902,  0.05689
TD, 0.04142, 0.04628,  0.05041
TE, 0.04264, 0.04175,  0.04369
TF, 0.05468, 0.04906,  0.05339
TG, 0.05882, 0.05364,  0.05504
TH, 0.02392, 0.02988,  0.02716
TI, 0.05428, 0.05358,  0.05128
TK, 0.04878, 0.04937,  0.05051
TL, 0.05022, 0.04873,  0.05223
TM, 0.05399, 0.052  ,  0.04988
TN, 0.0504 , 0.05177,  0.04756
TP, 0.03291, 0.03517,  0.03805
TQ, 0.05381, 0.04972,  0.05204
TR, 0.0719 , 0.06903,  0.07317
TS, 0.06336, 0.06376,  0.06349
TT, 0.07666, 0.07138,  0.0713
TV, 0.04161, 0.04194,  0.04184
TW, 0.05921, 0.05357,  0.05818
TY, 0.0625 , 0.06011,  0.05601
T_, 0.13333, 0.1375 ,  0.16393
VA, 0.06654, 0.07038,  0.07634
VC, 0.05833, 0.0601 ,  0.06195
VD, 0.05789, 0.06313,  0.0662
VE, 0.05182, 0.05674,  0.05522
VF, 0.06587, 0.0733 ,  0.07582
VG, 0.07332, 0.07491,  0.07317
VH, 0.06624, 0.06923,  0.07692
VI, 0.04889, 0.06255,  0.0694
VK, 0.06647, 0.06421,  0.07126
VL, 0.05657, 0.06075,  0.06076
VM, 0.06591, 0.07551,  0.07882
VN, 0.04766, 0.05505,  0.0607
VP, 0.0562 , 0.05816,  0.05413
VQ, 0.06139, 0.06204,  0.06009
VR, 0.0637 , 0.06865,  0.07303
VS, 0.06454, 0.06291,  0.06156
VT, 0.05593, 0.06425,  0.06419
VV, 0.05798, 0.06261,  0.06408
VW, 0.08898, 0.1    ,  0.1086
VY, 0.07977, 0.08442,  0.08117
V_, 0.03175, 0.05319,  0.04938
WA, 0.12759, 0.13081,  0.13121
WC, 0.14943, 0.1619 ,  0.15854
WD, 0.12537, 0.13486,  0.13235
WE, 0.14441, 0.13176,  0.14451
WF, 0.14925, 0.14468,  0.16244
WG, 0.19505, 0.18932,  0.17579
WH, 0.15888, 0.17424,  0.16814
WI, 0.0814 , 0.07372,  0.07519
WK, 0.15596, 0.1511 ,  0.15655
WL, 0.11549, 0.12418,  0.12435
WM, 0.13913, 0.13821,  0.13725
WN, 0.14397, 0.13016,  0.14056
WP, 0.09053, 0.09764,  0.11618
WQ, 0.15086, 0.14286,  0.14747
WR, 0.1338 , 0.12   ,  0.11636
WS, 0.16716, 0.16794,  0.15313
WT, 0.13419, 0.13623,  0.14336
WV, 0.15   , 0.15254,  0.15986
WW, 0.19481, 0.18478,  0.20732
WY, 0.17347, 0.17521,  0.18135
W_, 0.22222, 0.15385,  0.15385
YA, 0.10458, 0.10677,  0.10843
YC, 0.1661 , 0.17232,  0.17073
YD, 0.13082, 0.12523,  0.125
YE, 0.11221, 0.10244,  0.10558
YF, 0.13787, 0.14183,  0.13949
YG, 0.1569 , 0.14996,  0.15844
YH, 0.10417, 0.11429,  0.11504
YI, 0.11565, 0.11878,  0.12126
YK, 0.08827, 0.09127,  0.09343
YL, 0.12399, 0.12384,  0.13402
YM, 0.12648, 0.12795,  0.13636
YN, 0.12627, 0.12274,  0.10957
YP, 0.12733, 0.12269,  0.12935
YQ, 0.07652, 0.0767 ,  0.06762
YR, 0.12264, 0.11996,  0.12948
YS, 0.10968, 0.10749,  0.10426
YT, 0.12843, 0.13001,  0.1272
YV, 0.11596, 0.11295,  0.11353
YW, 0.11443, 0.10504,  0.08718
YY, 0.15298, 0.14538,  0.14237
Y_, 0.05882, 0.04762,  0.05556
