key, P864  , PP_S1070, PP_SA870
AA, 0.03878, 0.04453,  0.04947
AC, 0.04986, 0.06024,  0.06105
AD, 0.03881, 0.04241,  0.04259
AE, 0.0428 , 0.04285,  0.04747
AF, 0.07882, 0.08571,  0.08101
AG, 0.0591 , 0.062  ,  0.0625
AH, 0.0583 , 0.05578,  0.04786
AI, 0.05316, 0.05938,  0.05941
AK, 0.03259, 0.03873,  0.04324
AL, 0.0457 , 0.04775,  0.04736
AM, 0.03795, 0.03859,  0.04126
AN, 0.04708, 0.04791,  0.04515
AP, 0.03772, 0.04143,  0.04121
AQ, 0.04859, 0.04862,  0.05005
AR, 0.03095, 0.03398,  0.03568
AS, 0.04102, 0.044  ,  0.04461
AT, 0.04415, 0.04876,  0.05054
AV, 0.05221, 0.04896,  0.05166
AW, 0.06504, 0.05714,  0.0614
AY, 0.05365, 0.06418,  0.0622
A_, 0.0315 , 0.02564,  0.0155
CA, 0.05946, 0.0688 ,  0.06765
CC, 0.11905, 0.12752,  0.13559
CD, 0.07471, 0.07125,  0.07812
CE, 0.04167, 0.05104,  0.04913
CF, 0.05761, 0.06084,  0.05093
CG, 0.11194, 0.11349,  0.11467
CH, 0.08125, 0.07821,  0.06122
CI, 0.08581, 0.0961 ,  0.09057
CK, 0.02985, 0.03866,  0.03226
CL, 0.05   , 0.0604 ,  0.06625
CM, 0.05882, 0.06957,  0.07143
CN, 0.03435, 0.03704,  0.03448
CP, 0.07358, 0.07438,  0.06601
CQ, 0.04943, 0.05863,  0.06349
CR, 0.04893, 0.05618,  0.0519
CS, 0.04187, 0.0474 ,  0.04971
CT, 0.06985, 0.06728,  0.06767
CV, 0.08587, 0.09091,  0.09627
CW, 0.09231, 0.09333,  0.09259
CY, 0.10268, 0.12195,  0.11823
C_, 0.05263, 0.04348,  0.05263
DA, 0.04247, 0.04638,  0.04701
DC, 0.10474, 0.10191,  0.11488
DD, 0.07223, 0.07566,  0.08062
DE, 0.07987, 0.07462,  0.07097
DF, 0.05973, 0.06202,  0.06008
DG, 0.05347, 0.05659,  0.05903
DH, 0.06393, 0.07238,  0.06697
DI, 0.0576 , 0.05729,  0.05891
DK, 0.04231, 0.04246,  0.04284
DL, 0.05381, 0.05406,  0.05556
DM, 0.06273, 0.06597,  0.0696
DN, 0.05   , 0.05502,  0.05044
DP, 0.05198, 0.04949,  0.04938
DQ, 0.06057, 0.0547 ,  0.05012
DR, 0.0557 , 0.05439,  0.06318
DS, 0.05752, 0.0592 ,  0.05848
DT, 0.05565, 0.05556,  0.05512
DV, 0.06184, 0.0617 ,  0.06542
DW, 0.07375, 0.07506,  0.07263
DY, 0.06494, 0.06975,  0.07684
D_, 0.04167, 0.03509,  0.03158
EA, 0.0501 , 0.04869,  0.05449
EC, 0.07639, 0.0696 ,  0.07273
ED, 0.06807, 0.06198,  0.06013
EE, 0.04843, 0.04585,  0.04344
EF, 0.07143, 0.06989,  0.06829
EG, 0.05137, 0.04852,  0.05041
EH, 0.08425, 0.07784,  0.07194
EI, 0.06856, 0.0628 ,  0.06291
EK, 0.03243, 0.03391,  0.03216
EL, 0.05444, 0.05238,  0.05275
EM, 0.04114, 0.04615,  0.05189
EN, 0.03925, 0.04313,  0.04163
EP, 0.05551, 0.04988,  0.04909
EQ, 0.04643, 0.04307,  0.04485
ER, 0.03088, 0.03343,  0.03488
ES, 0.04403, 0.04821,  0.0513
ET, 0.0426 , 0.0394 ,  0.03963
EV, 0.04807, 0.04602,  0.04459
EW, 0.07969, 0.07219,  0.07368
EY, 0.06394, 0.05939,  0.06409
E_, 0.056  , 0.05161,  0.04724
FA, 0.10453, 0.11665,  0.11436
FC, 0.14902, 0.15152,  0.16116
FD, 0.09795, 0.09864,  0.09699
FE, 0.1    , 0.1029 ,  0.10805
FF, 0.09311, 0.10046,  0.10156
FG, 0.12654, 0.12645,  0.13457
FH, 0.11518, 0.11312,  0.11264
FI, 0.08901, 0.09908,  0.09375
FK, 0.10894, 0.12217,  0.11779
FL, 0.10454, 0.11078,  0.10979
