key, pos_ratio, pos_ratio^2, count, pos, neg
ALA, 0.04981, 0.00248,    10620,      529,    10091
CYS, 0.07019, 0.00493,     2650,      186,     2464
ASP, 0.06027, 0.00363,    11532,      695,    10837
GLU, 0.05032, 0.00253,    13613,      685,    12928
PHE, 0.10676, 0.0114 ,     6697,      715,     5982
GLY, 0.05148, 0.00265,    11170,      575,    10595
HIS, 0.08694, 0.00756,     4440,      386,     4054
ILE, 0.07566, 0.00572,     8459,      640,     7819
LYS, 0.05167, 0.00267,    12193,      630,    11563
LEU, 0.06769, 0.00458,    14375,      973,    13402
MET, 0.09205, 0.00847,     3650,      336,     3314
ASN, 0.06138, 0.00377,     8668,      532,     8136
PRO, 0.0438 , 0.00192,     8927,      391,     8536
GLN, 0.06286, 0.00395,     8177,      514,     7663
ARG, 0.07841, 0.00615,    10190,      799,     9391
SER, 0.05481, 0.003  ,    11585,      635,    10950
THR, 0.05298, 0.00281,     9853,      522,     9331
VAL, 0.06676, 0.00446,    10260,      685,     9575
TRP, 0.1428 , 0.02039,     2472,      353,     2119
TYR, 0.12075, 0.01458,     6708,      810,     5898
