key, pos_ratio, pos_ratio^2, count, pos, neg
AA, 0.04947, 0.00245,     1799,       89,     1710
AC, 0.06105, 0.00373,      344,       21,      323
AD, 0.04259, 0.00181,     1268,       54,     1214
AE, 0.04747, 0.00225,     1580,       75,     1505
AF, 0.08101, 0.00656,      790,       64,      726
AG, 0.0625 , 0.00391,     1408,       88,     1320
AH, 0.04786, 0.00229,      397,       19,      378
AI, 0.05941, 0.00353,     1111,       66,     1045
AK, 0.04324, 0.00187,     1272,       55,     1217
AL, 0.04736, 0.00224,     1985,       94,     1891
AM, 0.04126, 0.0017 ,      509,       21,      488
AN, 0.04515, 0.00204,      908,       41,      867
AP, 0.04121, 0.0017 ,      995,       41,      954
AQ, 0.05005, 0.00251,      959,       48,      911
AR, 0.03568, 0.00127,     1065,       38,     1027
AS, 0.04461, 0.00199,     1345,       60,     1285
AT, 0.05054, 0.00255,     1108,       56,     1052
AV, 0.05166, 0.00267,     1413,       73,     1340
AW, 0.0614 , 0.00377,      228,       14,      214
AY, 0.0622 , 0.00387,      627,       39,      588
A_, 0.0155 , 0.00024,      129,        2,      127
CA, 0.06765, 0.00458,      340,       23,      317
CC, 0.13559, 0.01839,      118,       16,      102
CD, 0.07812, 0.0061 ,      320,       25,      295
CE, 0.04913, 0.00241,      346,       17,      329
CF, 0.05093, 0.00259,      216,       11,      205
CG, 0.11467, 0.01315,      375,       43,      332
CH, 0.06122, 0.00375,      147,        9,      138
CI, 0.09057, 0.0082 ,      265,       24,      241
CK, 0.03226, 0.00104,      310,       10,      300
CL, 0.06625, 0.00439,      483,       32,      451
CM, 0.07143, 0.0051 ,       98,        7,       91
CN, 0.03448, 0.00119,      232,        8,      224
CP, 0.06601, 0.00436,      303,       20,      283
CQ, 0.06349, 0.00403,      252,       16,      236
CR, 0.0519 , 0.00269,      289,       15,      274
CS, 0.04971, 0.00247,      342,       17,      325
CT, 0.06767, 0.00458,      266,       18,      248
CV, 0.09627, 0.00927,      322,       31,      291
CW, 0.09259, 0.00857,       54,        5,       49
CY, 0.11823, 0.01398,      203,       24,      179
C_, 0.05263, 0.00277,       19,        1,       18
DA, 0.04701, 0.00221,     1489,       70,     1419
DC, 0.11488, 0.0132 ,      383,       44,      339
DD, 0.08062, 0.0065 ,     1228,       99,     1129
DE, 0.07097, 0.00504,     1564,      111,     1453
DF, 0.06008, 0.00361,     1032,       62,      970
DG, 0.05903, 0.00348,     1694,      100,     1594
DH, 0.06697, 0.00449,      433,       29,      404
DI, 0.05891, 0.00347,     1409,       83,     1326
DK, 0.04284, 0.00184,     1494,       64,     1430
