,ave con/,ä %s = ave,INVALIDS (all contacts=Hbonds+vdw),,,,,,Backbone all contacts,,,,ave,Side Chain all contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% resisues,#HeavyAtm,contact/res,Res Count,Res,N,ave,CA,ave,C,ave,O,ave,bb,CB,ave,CG ,ave,,count,ave,CD,ave,,count,ave,,count,ave,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave
1.550049121,1.01056338,6.063380282,284,CYS,111,0.39084507,224,0.788732394,63,0.221830986,132,0.464788732,1.866197183,443,1.559859155,,,SG,749,2.637323944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.10501037,1.00016835,4.000673401,1485,GLY,1248,0.84040404,2172,1.462626263,1160,0.781144781,1361,0.916498316,4.000673401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.003711385,0.742878788,4.457272727,1100,SER,558,0.507272727,636,0.578181818,360,0.327272727,587,0.533636364,1.946363636,1192,1.083636364,,,OG,1570,1.427272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.970963869,0.717276051,7.172760512,1094,HIS,200,0.182815356,345,0.31535649,205,0.18738574,240,0.219378428,0.904936015,480,0.438756856,398,0.363802559,,,,1207,1.103290676,ND1,881,0.805301645,,,,CE,1653,1.510968921,,NE2,2238,2.045703839,,,,,,,,,,,,,,,,
5.343303133,0.684754852,5.478038815,979,ASN,317,0.323799796,304,0.31052094,246,0.251276813,328,0.335035751,1.220633299,580,0.592441267,913,0.93258427,,,,,,OD1,897,0.916241062,ND2,1778,1.816138917,,,,,,,,,,,,,,,,,,,,,,,
5.588909508,0.663225446,4.642578125,1024,THR,534,0.521484375,493,0.481445313,314,0.306640625,529,0.516601563,1.826171875,754,0.736328125,640,0.625,OG1,1490,1.455078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.863006222,0.617957351,3.089786756,891,ALA,550,0.617283951,458,0.514029181,313,0.351290685,494,0.554433221,2.037037037,938,1.052749719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.124986355,0.581469649,4.651757188,939,ASP,337,0.358892439,328,0.349307774,246,0.261980831,363,0.38658147,1.356762513,441,0.469648562,727,0.774227902,,,,,,OD1,968,1.030883919,OD2,958,1.020234292,,,,,,,,,,,,,,,,,,,,,,,
11.24331405,0.553618711,6.089805825,2060,ARG,434,0.210679612,344,0.166990291,238,0.115533981,365,0.177184466,0.67038835,543,0.263592233,570,0.276699029,,,,886,0.430097087,,,,,,,NE,1437,0.697572816,,CZ,2036,0.988349515,,NH1,2448,1.188349515,,NH2,3244,1.574757282,,,,,,,,
6.063748499,0.505950595,4.553555356,1111,LYS,317,0.285328533,274,0.246624662,197,0.177317732,303,0.272727273,0.9819982,372,0.334833483,274,0.246624662,,,,565,0.508550855,,,,,,,CE,983,0.884788479,,NZ,1774,1.596759676,,,,,,,,,,,,,,,,
5.479751119,0.500110668,4.500996016,1004,GLU,290,0.288844622,302,0.300796813,193,0.192231076,311,0.309760956,1.091633466,332,0.330677291,344,0.342629482,,,,710,0.707171315,,,,,,,OE1,962,0.958167331,,OE2,1075,1.070717131,,,,,,,,,,,,,,,,
3.372994215,0.494246674,4.448220065,618,GLN,220,0.355987055,181,0.292880259,113,0.182847896,200,0.323624595,1.155339806,281,0.454692557,308,0.498381877,,,,345,0.558252427,,,,,,,OE1,411,0.665048544,,NE2,690,1.116504854,,,,,,,,,,,,,,,,
2.297784085,0.490159484,6.862232779,421,TRP,151,0.358669834,78,0.185273159,65,0.154394299,86,0.204275534,0.902612827,165,0.39192399,139,0.330166271,,,,243,0.57719715,CD2,182,0.432304038,,,,NE1,443,1.052256532,,CE2,272,0.64608076,,CE3,205,0.486935867,,CZ2,300,0.712589074,,CZ3,278,0.660332542,,CH2,282,0.669833729
1.724702543,0.454509494,3.636075949,316,MET,122,0.386075949,108,0.341772152,78,0.246835443,115,0.363924051,1.338607595,166,0.525316456,149,0.471518987,,,,,,SD,182,0.575949367,,,,CE,229,0.724683544,,,,,,,,,,,,,,,,,,,,
3.815085689,0.438381361,3.068669528,699,PRO,289,0.413447783,299,0.427753934,252,0.360515021,161,0.230329041,1.43204578,363,0.519313305,393,0.56223176,,,,388,0.555078684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.055234145,0.421265141,2.948855989,743,VAL,388,0.522207268,177,0.238223419,176,0.236877524,309,0.415881561,1.413189771,193,0.259757739,474,0.63795424,CG2,474,0.63795424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.17956555,0.402880225,4.834562698,949,TYR,317,0.334035827,166,0.174920969,187,0.197049526,200,0.210748156,0.916754478,302,0.318229715,161,0.169652266,,,,284,0.299262381,CD2,259,0.272918862,,,,CE,579,0.610115911,,CE2,474,0.49947313,,CZ,585,0.616438356,,OH,1074,1.131717597,,,,,,,,
3.80416985,0.380918221,3.047345768,697,ILE,274,0.393113343,174,0.24964132,162,0.232424677,296,0.424677188,1.299856528,168,0.241032999,212,0.304160689,CG2,364,0.522238164,474,0.680057389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.513699378,0.3808948,4.189842805,827,PHE,337,0.407496977,245,0.296251511,194,0.23458283,278,0.336154776,1.274486094,353,0.426844015,173,0.209189843,,,,308,0.372430472,CD2,282,0.340991536,,,,CE,445,0.53808948,,CE2,412,0.498186215,,CZ,438,0.529625151,,,,,,,,,,,,
5.900010916,0.362049029,2.896392229,1081,LEU,509,0.470860315,230,0.212765957,240,0.222016651,403,0.37280296,1.278445883,340,0.314523589,141,0.130434783,,,,593,0.548566142,CD2,675,0.624421832,,,,,,,,,,,,,,,,,,,,,,,,,,
