5 è˝ SASA,ave con/,‰ %s = ave,VALIDS (all contacts=Hbonds+vdw),,,,,,Backbone all contacts,,,,ave,Side Chain all contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% resisues,#HeavyAtm,contact/res,Res Count,Res,N,ave,CA,ave,C,ave,O,ave,bb,CB,ave,CG ,ave,,count,ave,CD,ave,,count,ave,,count,ave,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave
3.302365524,0.771656535,10.80319149,1692,TRP,375,0.221631206,406,0.239952719,389,0.229905437,615,0.363475177,1.054964539,1031,0.609338061,1114,0.658392435,,,,1573,0.929669031,CD2,1434,0.84751773,,,,NE1,2213,1.307919622,,CE2,1887,1.115248227,,CE3,1529,0.903664303,,CZ2,2223,1.313829787,,CZ3,1618,0.956264775,,CH2,1872,1.106382979
7.186353345,0.752512222,9.030146659,3682,TYR,932,0.253123303,1003,0.272406301,729,0.197990223,1137,0.308799565,1.032319392,2100,0.570342205,1987,0.539652363,,,,2947,0.800380228,CD2,2868,0.778924498,,,,CE,4086,1.109722977,,CE2,3744,1.016838675,,CZ,3999,1.086094514,,OH,7717,2.095871809,,,,,,,,
5.808415958,0.751157407,6.760416667,2976,LYS,1597,0.536626344,1317,0.442540323,640,0.215053763,866,0.290994624,1.485215054,1451,0.487567204,1853,0.622647849,,,,2097,0.704637097,,,,,,,CE,4038,1.356854839,,NZ,6260,2.103494624,,,,,,,,,,,,,,,,
6.333437427,0.748788346,8.236671803,3245,PHE,949,0.292449923,797,0.245608629,689,0.212326656,1260,0.388289676,1.138674884,2006,0.618181818,2036,0.62742681,,,,3102,0.955932203,CD2,3019,0.930354391,,,,CE,4231,1.30385208,,CE2,4022,1.2394453,,CZ,4617,1.422804314,,,,,,,,,,,,
2.753923023,0.741672573,5.933380581,1411,MET,785,0.556343019,561,0.397590361,375,0.265768958,620,0.439404678,1.659107016,1055,0.747696669,1315,0.931963147,,,,,,SD,1625,1.151665485,,,,CE,2036,1.442948264,,,,,,,,,,,,,,,,,,,,
3.991334218,0.69741918,6.276772616,2045,GLU,627,0.306601467,608,0.297310513,608,0.297310513,1110,0.542787286,1.44400978,655,0.320293399,1029,0.503178484,,,,2070,1.012224939,,,,,,,OE1,2936,1.435696822,,OE2,3193,1.561369193,,,,,,,,,,,,,,,,
5.279490983,0.697042514,5.576340111,2705,ILE,1297,0.47948244,881,0.325693161,495,0.182994455,1040,0.384473198,1.372643253,1180,0.436229205,2520,0.931608133,CG2,3359,1.241774492,4312,1.594085028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.729096729,0.684570485,4.791993397,2423,VAL,1169,0.482459761,827,0.341312423,636,0.262484523,1221,0.503920759,1.590177466,1176,0.485348741,2960,1.221626083,CG2,3622,1.494841106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.22624717,0.66735805,4.671506352,1653,PRO,459,0.277676951,686,0.415003025,538,0.325468845,886,0.53599516,1.554143981,1154,0.698124622,2016,1.219600726,,,,1983,1.199637024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.112186744,0.602394347,4.819154775,3644,LEU,1783,0.489297475,1079,0.296103183,998,0.273874863,1675,0.459659715,1.518935236,1722,0.472557629,1436,0.394072448,,,,4833,1.326289791,CD2,4035,1.107299671,,,,,,,,,,,,,,,,,,,,,,,,,,
