5 è˝ SASA,ave con/,‰ %s = ave,VALIDS (all contacts=Hbonds+vdw),,,,,,Backbone all contacts,,,,ave,Side Chain all contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% resisues,#HeavyAtm,contact/res,Res Count,Res,N,ave,CA,ave,C,ave,O,ave,bb,CB,ave,CG ,ave,,count,ave,CD,ave,,count,ave,,count,ave,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave,,,count,ave
6.842844875,1.621648602,6.48659441,3506,GLY,6020,1.717056475,8332,2.376497433,3938,1.123217342,4452,1.26982316,6.48659441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.955500039,1.129184718,6.77510831,2539,SER,2560,1.008270973,2112,0.831823553,1106,0.435604569,1296,0.51043718,2.786136274,4213,1.659314691,,,OG,5915,2.329657345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01491139,1.080128205,6.480769231,520,CYS,358,0.688461538,380,0.730769231,204,0.392307692,264,0.507692308,2.319230769,875,1.682692308,,,SG,1289,2.478846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.042079788,1.011588605,5.057943023,2071,ALA,1764,0.851762434,1542,0.744567842,917,0.442781265,1626,0.785127958,2.824239498,4626,2.233703525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.515653056,0.938782732,6.571479122,2826,THR,1949,0.689667374,1599,0.56581741,939,0.332271762,1388,0.491153574,2.07891012,3032,1.072894551,3928,1.38995046,OG1,5736,2.029723992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.564446873,0.927174676,7.417397404,2851,ASP,1364,0.478428622,1494,0.524026657,1058,0.37109786,1163,0.407927043,1.781480182,1526,0.535250789,3625,1.27148369,,,,,,OD1,5432,1.905296387,OD2,5485,1.923886356,,,,,,,,,,,,,,,,,,,,,,,
4.375829495,0.884422391,7.075379126,2242,ASN,1321,0.589206066,923,0.411685995,737,0.328724353,973,0.433987511,1.763603925,1598,0.712756467,2349,1.047725245,,,,,,OD1,3307,1.475022302,ND2,4655,2.076271186,,,,,,,,,,,,,,,,,,,,,,,
4.762276524,0.851803279,8.518032787,2440,HIS,673,0.275819672,777,0.318442623,601,0.246311475,921,0.377459016,1.218032787,1579,0.647131148,1560,0.639344262,,,,2827,1.158606557,ND1,2857,1.170901639,,,,CE,4202,1.722131148,,NE2,4787,1.961885246,,,,,,,,,,,,,,,,
10.08665782,0.814628483,8.960913313,5168,ARG,1944,0.376160991,1393,0.269543344,908,0.175696594,1185,0.229295666,1.050696594,2324,0.449690402,2622,0.507352941,,,,4221,0.816756966,,,,,,,NE,5684,1.099845201,,CZ,6993,1.353134675,,NH1,8382,1.621904025,,NH2,10654,2.061532508,,,,,,,,
3.11694902,0.783691644,7.053224796,1597,GLN,647,0.405134627,671,0.420162805,450,0.281778334,712,0.445835942,1.552911709,974,0.60989355,1239,0.775829681,,,,1701,1.065122104,,,,,,,OE1,2358,1.476518472,,NE2,2512,1.57294928,,,,,,,,,,,,,,,,
