key, pos_ratio, pos_ratio^2, count, pos, neg
AA, 0.04453, 0.00198,     2223,       99,     2124
AC, 0.06024, 0.00363,      415,       25,      390
AD, 0.04241, 0.0018 ,     1580,       67,     1513
AE, 0.04285, 0.00184,     1937,       83,     1854
AF, 0.08571, 0.00735,      945,       81,      864
AG, 0.062  , 0.00384,     1758,      109,     1649
AH, 0.05578, 0.00311,      502,       28,      474
AI, 0.05938, 0.00353,     1364,       81,     1283
AK, 0.03873, 0.0015 ,     1601,       62,     1539
AL, 0.04775, 0.00228,     2513,      120,     2393
AM, 0.03859, 0.00149,      622,       24,      598
AN, 0.04791, 0.0023 ,     1127,       54,     1073
AP, 0.04143, 0.00172,     1231,       51,     1180
AQ, 0.04862, 0.00236,     1193,       58,     1135
AR, 0.03398, 0.00115,     1295,       44,     1251
AS, 0.044  , 0.00194,     1682,       74,     1608
AT, 0.04876, 0.00238,     1415,       69,     1346
AV, 0.04896, 0.0024 ,     1736,       85,     1651
AW, 0.05714, 0.00327,      280,       16,      264
AY, 0.06418, 0.00412,      779,       50,      729
A_, 0.02564, 0.00066,      156,        4,      152
CA, 0.0688 , 0.00473,      407,       28,      379
CC, 0.12752, 0.01626,      149,       19,      130
CD, 0.07125, 0.00508,      393,       28,      365
CE, 0.05104, 0.00261,      431,       22,      409
CF, 0.06084, 0.0037 ,      263,       16,      247
CG, 0.11349, 0.01288,      467,       53,      414
CH, 0.07821, 0.00612,      179,       14,      165
CI, 0.0961 , 0.00923,      333,       32,      301
CK, 0.03866, 0.00149,      388,       15,      373
CL, 0.0604 , 0.00365,      596,       36,      560
CM, 0.06957, 0.00484,      115,        8,      107
CN, 0.03704, 0.00137,      297,       11,      286
CP, 0.07438, 0.00553,      363,       27,      336
CQ, 0.05863, 0.00344,      307,       18,      289
CR, 0.05618, 0.00316,      356,       20,      336
CS, 0.0474 , 0.00225,      443,       21,      422
CT, 0.06728, 0.00453,      327,       22,      305
CV, 0.09091, 0.00826,      396,       36,      360
CW, 0.09333, 0.00871,       75,        7,       68
CY, 0.12195, 0.01487,      246,       30,      216
C_, 0.04348, 0.00189,       23,        1,       22
DA, 0.04638, 0.00215,     1876,       87,     1789
DC, 0.10191, 0.01039,      471,       48,      423
DD, 0.07566, 0.00572,     1520,      115,     1405
DE, 0.07462, 0.00557,     1903,      142,     1761
DF, 0.06202, 0.00385,     1290,       80,     1210
DG, 0.05659, 0.0032 ,     2103,      119,     1984
DH, 0.07238, 0.00524,      525,       38,      487
DI, 0.05729, 0.00328,     1763,      101,     1662
DK, 0.04246, 0.0018 ,     1837,       78,     1759
DL, 0.05406, 0.00292,     2719,      147,     2572
DM, 0.06597, 0.00435,      667,       44,      623
DN, 0.05502, 0.00303,     1145,       63,     1082
DP, 0.04949, 0.00245,     1475,       73,     1402
DQ, 0.0547 , 0.00299,     1042,       57,      985
DR, 0.05439, 0.00296,     1379,       75,     1304
DS, 0.0592 , 0.0035 ,     1740,      103,     1637
DT, 0.05556, 0.00309,     1440,       80,     1360
DV, 0.0617 , 0.00381,     1961,      121,     1840
DW, 0.07506, 0.00563,      413,       31,      382
DY, 0.06975, 0.00486,     1147,       80,     1067
D_, 0.03509, 0.00123,      114,        4,      110
EA, 0.04869, 0.00237,     2444,      119,     2325
EC, 0.0696 , 0.00484,      546,       38,      508
ED, 0.06198, 0.00384,     1920,      119,     1801
EE, 0.04585, 0.0021 ,     2661,      122,     2539
EF, 0.06989, 0.00488,     1302,       91,     1211
EG, 0.04852, 0.00235,     2123,      103,     2020
EH, 0.07784, 0.00606,      668,       52,      616
EI, 0.0628 , 0.00394,     1879,      118,     1761
EK, 0.03391, 0.00115,     2359,       80,     2279
EL, 0.05238, 0.00274,     3303,      173,     3130
EM, 0.04615, 0.00213,      780,       36,      744
EN, 0.04313, 0.00186,     1507,       65,     1442
EP, 0.04988, 0.00249,     1624,       81,     1543
EQ, 0.04307, 0.00186,     1393,       60,     1333
ER, 0.03343, 0.00112,     1735,       58,     1677
ES, 0.04821, 0.00232,     1763,       85,     1678
ET, 0.0394 , 0.00155,     1599,       63,     1536
EV, 0.04602, 0.00212,     2325,      107,     2218
EW, 0.07219, 0.00521,      471,       34,      437
EY, 0.05939, 0.00353,     1145,       68,     1077
E_, 0.05161, 0.00266,      155,        8,      147
FA, 0.11665, 0.01361,     1003,      117,      886
FC, 0.15152, 0.02296,      297,       45,      252
FD, 0.09864, 0.00973,     1105,      109,      996
FE, 0.1029 , 0.01059,     1069,      110,      959
FF, 0.10046, 0.01009,      647,       65,      582
FG, 0.12645, 0.01599,     1123,      142,      981
FH, 0.11312, 0.0128 ,      442,       50,      392
FI, 0.09908, 0.00982,      868,       86,      782
FK, 0.12217, 0.01492,     1015,      124,      891
FL, 0.11078, 0.01227,     1336,      148,     1188
FM, 0.13836, 0.01914,      318,       44,      274
FN, 0.10393, 0.0108 ,      866,       90,      776
FP, 0.09524, 0.00907,      819,       78,      741
FQ, 0.09129, 0.00833,      712,       65,      647
FR, 0.08625, 0.00744,      858,       74,      784
FS, 0.09326, 0.0087 ,     1201,      112,     1089
FT, 0.08873, 0.00787,      958,       85,      873
FV, 0.10308, 0.01063,     1038,      107,      931
FW, 0.09314, 0.00867,      204,       19,      185
FY, 0.13523, 0.01829,      599,       81,      518
F_, 0.12963, 0.0168 ,       54,        7,       47
GA, 0.05408, 0.00293,     1775,       96,     1679
GC, 0.08333, 0.00694,      456,       38,      418
GD, 0.04112, 0.00169,     1921,       79,     1842
GE, 0.034  , 0.00116,     1912,       65,     1847
GF, 0.07605, 0.00578,     1052,       80,      972
GG, 0.06699, 0.00449,     1866,      125,     1741
GH, 0.04944, 0.00244,      627,       31,      596
GI, 0.05847, 0.00342,     1317,       77,     1240
GK, 0.03125, 0.00098,     1760,       55,     1705
GL, 0.0549 , 0.00301,     2277,      125,     2152
GM, 0.0696 , 0.00484,      546,       38,      508
GN, 0.04345, 0.00189,     1404,       61,     1343
GP, 0.02628, 0.00069,     1294,       34,     1260
