key, propensity, propensity^2, count, pos, neg
DA, 0.03968, 0.00157,     4914,      195,     4719
DC, 0.05714, 0.00327,      700,       40,      660
DD, 0.05388, 0.0029 ,     3025,      163,     2862
DE, 0.03006, 0.0009 ,     3726,      112,     3614
DF, 0.05909, 0.00349,     2894,      171,     2723
DG, 0.06893, 0.00475,     4265,      294,     3971
DH, 0.04163, 0.00173,     1177,       49,     1128
DI, 0.05771, 0.00333,     4003,      231,     3772
DK, 0.01783, 0.00032,     3141,       56,     3085
DL, 0.04861, 0.00236,     5925,      288,     5637
DM, 0.04341, 0.00188,     1244,       54,     1190
DN, 0.04342, 0.00189,     2142,       93,     2049
DP, 0.02106, 0.00044,     2992,       63,     2929
DQ, 0.03273, 0.00107,     1711,       56,     1655
DR, 0.02218, 0.00049,     2930,       65,     2865
DS, 0.04763, 0.00227,     3107,      148,     2959
DT, 0.04664, 0.00218,     2830,      132,     2698
DV, 0.04767, 0.00227,     4363,      208,     4155
DW, 0.04407, 0.00194,      885,       39,      846
DY, 0.03779, 0.00143,     2302,       87,     2215
D_, 0.02532, 0.00064,      158,        4,      154
E?, 0      , 0      ,        6,        0,        6
EA, 0.01983, 0.00039,     5546,      110,     5436
EC, 0.03577, 0.00128,      699,       25,      674
ED, 0.02733, 0.00075,     3732,      102,     3630
EE, 0.01697, 0.00029,     5126,       87,     5039
EF, 0.02834, 0.0008 ,     2611,       74,     2537
EG, 0.0253 , 0.00064,     4387,      111,     4276
EH, 0.02948, 0.00087,     1323,       39,     1284
EI, 0.0265 , 0.0007 ,     4189,      111,     4078
EK, 0.011  , 0.00012,     4453,       49,     4404
EL, 0.02578, 0.00066,     6556,      169,     6387
EM, 0.02617, 0.00069,     1490,       39,     1451
EN, 0.01774, 0.00031,     2649,       47,     2602
EP, 0.01698, 0.00029,     3063,       52,     3011
EQ, 0.01939, 0.00038,     2475,       48,     2427
ER, 0.01899, 0.00036,     3845,       73,     3772
ES, 0.01778, 0.00032,     3262,       58,     3204
ET, 0.01771, 0.00031,     3105,       55,     3050
EV, 0.02751, 0.00076,     4762,      131,     4631
EW, 0.01389, 0.00019,      936,       13,      923
EY, 0.01896, 0.00036,     2057,       39,     2018
E_, 0      , 0      ,      162,        0,      162
F?, 0      , 0      ,       11,        0,       11
FA, 0.00313, 0.00001,     2872,        9,     2863
FC, 0.0043 , 0.00002,      465,        2,      463
FD, 0.00604, 0.00004,     2813,       17,     2796
FE, 0.00358, 0.00001,     2515,        9,     2506
FF, 0.00624, 0.00004,     1443,        9,     1434
FG, 0.00553, 0.00003,     2891,       16,     2875
FH, 0.001  , 0      ,     1002,        1,     1001
FI, 0.00523, 0.00003,     1911,       10,     1901
FK, 0.00301, 0.00001,     1996,        6,     1990
FL, 0.00454, 0.00002,     3083,       14,     3069
FM, 0.00299, 0.00001,      669,        2,      667
FN, 0.00589, 0.00003,     1699,       10,     1689
FP, 0.00274, 0.00001,     1824,        5,     1819
FQ, 0.00525, 0.00003,     1334,        7,     1327
FR, 0.00384, 0.00001,     2084,        8,     2076
FS, 0.00597, 0.00004,     2513,       15,     2498
FT, 0.00279, 0.00001,     2154,        6,     2148
FV, 0.00285, 0.00001,     2452,        7,     2445
FW, 0      , 0      ,      442,        0,      442
FY, 0.0022 , 0      ,     1365,        3,     1362
F_, 0      , 0      ,       94,        0,       94
G?, 0      , 0      ,       14,        0,       14
GA, 0.00673, 0.00005,     5053,       34,     5019
GC, 0.00114, 0      ,      881,        1,      880
GD, 0.01139, 0.00013,     4038,       46,     3992
GE, 0.005  , 0.00003,     4196,       21,     4175
GF, 0.00707, 0.00005,     2687,       19,     2668
GG, 0.01077, 0.00012,     4826,       52,     4774
GH, 0.00781, 0.00006,     1537,       12,     1525
GI, 0.00732, 0.00005,     3687,       27,     3660
GK, 0.00655, 0.00004,     3816,       25,     3791
GL, 0.00537, 0.00003,     5591,       30,     5561
GM, 0.00876, 0.00008,     1370,       12,     1358
GN, 0.00734, 0.00005,     2723,       20,     2703
GP, 0.0062 , 0.00004,     2741,       17,     2724
GQ, 0.00831, 0.00007,     2165,       18,     2147
GR, 0.00394, 0.00002,     3302,       13,     3289
GS, 0.00661, 0.00004,     4085,       27,     4058
GT, 0.00523, 0.00003,     3825,       20,     3805
GV, 0.00596, 0.00004,     4192,       25,     4167
GW, 0.00877, 0.00008,      798,        7,      791
GY, 0.00447, 0.00002,     2237,       10,     2227
G_, 0.01754, 0.00031,      228,        4,      224
H?, 0      , 0      ,        6,        0,        6
HA, 0.0249 , 0.00062,     1727,       43,     1684
HC, 0.02967, 0.00088,      337,       10,      327
HD, 0.03814, 0.00145,     1180,       45,     1135
HE, 0.01669, 0.00028,     1318,       22,     1296
HF, 0.01558, 0.00024,     1027,       16,     1011
HG, 0.02914, 0.00085,     1647,       48,     1599
HH, 0.02778, 0.00077,      972,       27,      945
HI, 0.02047, 0.00042,     1319,       27,     1292
HK, 0.01425, 0.0002 ,     1053,       15,     1038
HL, 0.02375, 0.00056,     2274,       54,     2220
HM, 0.02545, 0.00065,      550,       14,      536
HN, 0.02864, 0.00082,      838,       24,      814
HP, 0.01187, 0.00014,     1179,       14,     1165
HQ, 0.01949, 0.00038,      821,       16,      805
HR, 0.01349, 0.00018,     1186,       16,     1170
HS, 0.02808, 0.00079,     1282,       36,     1246
HT, 0.02375, 0.00056,     1137,       27,     1110
HV, 0.01842, 0.00034,     1466,       27,     1439
HW, 0.02695, 0.00073,      334,        9,      325
HY, 0.02369, 0.00056,      802,       19,      783
H_, 0.04762, 0.00227,      147,        7,      140
I?, 0      , 0      ,       10,        0,       10
IA, 0.00341, 0.00001,     4404,       15,     4389
IC, 0.00623, 0.00004,      642,        4,      638
ID, 0.00469, 0.00002,     3842,       18,     3824
IE, 0.00426, 0.00002,     3990,       17,     3973
IF, 0.00267, 0.00001,     1872,        5,     1867
IG, 0.00497, 0.00002,     4021,       20,     4001
IH, 0.00399, 0.00002,     1252,        5,     1247
II, 0.00193, 0      ,     3113,        6,     3107
IK, 0.00324, 0.00001,     3393,       11,     3382
IL, 0.00296, 0.00001,     4398,       13,     4385
IM, 0.00392, 0.00002,     1020,        4,     1016
IN, 0.00314, 0.00001,     2545,        8,     2537
IP, 0.00384, 0.00001,     2607,       10,     2597
IQ, 0.00357, 0.00001,     1961,        7,     1954
IR, 0.00206, 0      ,     2907,        6,     2901
IS, 0.00179, 0      ,     3347,        6,     3341
IT, 0.00252, 0.00001,     2776,        7,     2769
IV, 0.00277, 0.00001,     3614,       10,     3604
IW, 0      , 0      ,      602,        0,      602
IY, 0.00234, 0.00001,     1706,        4,     1702
I_, 0.02   , 0.0004 ,      100,        2,       98
K?, 0      , 0      ,        2,        0,        2
KA, 0.00695, 0.00005,     4173,       29,     4144
KC, 0.00978, 0.0001 ,      511,        5,      506
KD, 0.00349, 0.00001,     3152,       11,     3141
KE, 0.00628, 0.00004,     4459,       28,     4431
KF, 0.00621, 0.00004,     2092,       13,     2079
KG, 0.01629, 0.00027,     3989,       65,     3924
KH, 0.00378, 0.00001,     1059,        4,     1055
KI, 0.00834, 0.00007,     3599,       30,     3569
KK, 0.00395, 0.00002,     3543,       14,     3529
KL, 0.00855, 0.00007,     5499,       47,     5452
KM, 0.00542, 0.00003,     1292,        7,     1285
KN, 0.00905, 0.00008,     2320,       21,     2299
KP, 0.01126, 0.00013,     2220,       25,     2195
KQ, 0.00414, 0.00002,     1934,        8,     1926
KR, 0.00729, 0.00005,     2607,       19,     2588
KS, 0.00855, 0.00007,     2808,       24,     2784
KT, 0.00903, 0.00008,     2659,       24,     2635
KV, 0.00871, 0.00008,     3905,       34,     3871
KW, 0.00595, 0.00004,      672,        4,      668
KY, 0.00629, 0.00004,     1908,       12,     1896
K_, 0.0083 , 0.00007,      241,        2,      239
L?, 0      , 0      ,       16,        0,       16
LA, 0.00286, 0.00001,     7692,       22,     7670
LC, 0      , 0      ,      991,        0,      991
LD, 0.00525, 0.00003,     5718,       30,     5688
LE, 0.00271, 0.00001,     6267,       17,     6250
LF, 0.00325, 0.00001,     3080,       10,     3070
LG, 0.005  , 0.00003,     5998,       30,     5968
LH, 0.00138, 0      ,     2179,        3,     2176
LI, 0.00341, 0.00001,     4405,       15,     4390
LK, 0.0019 , 0      ,     5254,       10,     5244
LL, 0.00165, 0      ,     7868,       13,     7855
LM, 0.00272, 0.00001,     1836,        5,     1831
LN, 0.00492, 0.00002,     3662,       18,     3644
LP, 0.00509, 0.00003,     4325,       22,     4303
LQ, 0.00117, 0      ,     3409,        4,     3405
LR, 0.00219, 0      ,     5033,       11,     5022
LS, 0.0035 , 0.00001,     5425,       19,     5406
LT, 0.0033 , 0.00001,     4845,       16,     4829
LV, 0.00153, 0      ,     5890,        9,     5881
LW, 0      , 0      ,     1113,        0,     1113
LY, 0.00218, 0      ,     2748,        6,     2742
L_, 0.00952, 0.00009,      210,        2,      208
M?, 0      , 0      ,        5,        0,        5
MA, 0.00173, 0      ,     1733,        3,     1730
MC, 0      , 0      ,      214,        0,      214
MD, 0.00677, 0.00005,     1182,        8,     1174
ME, 0.0021 , 0      ,     1430,        3,     1427
MF, 0.00442, 0.00002,      679,        3,      676
MG, 0.00551, 0.00003,     1453,        8,     1445
MH, 0.00383, 0.00001,      522,        2,      520
MI, 0.00484, 0.00002,     1033,        5,     1028
MK, 0.00404, 0.00002,     1238,        5,     1233
ML, 0.00383, 0.00001,     1830,        7,     1823
MM, 0.00214, 0      ,      468,        1,      467
MN, 0.00455, 0.00002,      879,        4,      875
MP, 0.00222, 0      ,      899,        2,      897
MQ, 0.00404, 0.00002,      743,        3,      740
MR, 0.00427, 0.00002,     1172,        5,     1167
MS, 0.00971, 0.00009,     1133,       11,     1122
MT, 0.00457, 0.00002,     1095,        5,     1090
MV, 0.00147, 0      ,     1364,        2,     1362
MW, 0      , 0      ,      256,        0,      256
MY, 0.00329, 0.00001,      608,        2,      606
M_, 0.00325, 0.00001,      308,        1,      307
N?, 0      , 0      ,        7,        0,        7
NA, 0.01651, 0.00027,     2968,       49,     2919
NC, 0.01073, 0.00012,      466,        5,      461
ND, 0.02333, 0.00054,     2143,       50,     2093
NE, 0.00909, 0.00008,     2639,       24,     2615
NF, 0.01098, 0.00012,     1731,       19,     1712
NG, 0.01895, 0.00036,     2849,       54,     2795
NH, 0.00715, 0.00005,      839,        6,      833
NI, 0.01697, 0.00029,     2652,       45,     2607
NK, 0.01083, 0.00012,     2308,       25,     2283
NL, 0.01083, 0.00012,     3785,       41,     3744
NM, 0.01438, 0.00021,      904,       13,      891
NN, 0.01414, 0.0002 ,     1768,       25,     1743
NP, 0.00953, 0.00009,     1993,       19,     1974
NQ, 0.01318, 0.00017,     1366,       18,     1348
NR, 0.00908, 0.00008,     1872,       17,     1855
NS, 0.01544, 0.00024,     2267,       35,     2232
NT, 0.00835, 0.00007,     1917,       16,     1901
NV, 0.01833, 0.00034,     2728,       50,     2678
NW, 0.00972, 0.00009,      617,        6,      611
NY, 0.00741, 0.00005,     1484,       11,     1473
N_, 0.016  , 0.00026,      125,        2,      123
P?, 0      , 0      ,        4,        0,        4
PA, 0.00225, 0.00001,     3108,        7,     3101
PC, 0.00557, 0.00003,      539,        3,      536
PD, 0.00271, 0.00001,     2957,        8,     2949
PE, 0.00263, 0.00001,     3037,        8,     3029
PF, 0.00548, 0.00003,     1826,       10,     1816
PG, 0.00352, 0.00001,     2841,       10,     2831
PH, 0.0017 , 0      ,     1175,        2,     1173
PI, 0.00266, 0.00001,     2628,        7,     2621
PK, 0.00091, 0      ,     2193,        2,     2191
PL, 0.00277, 0.00001,     4337,       12,     4325
PM, 0.00224, 0.00001,      894,        2,      892
PN, 0.00554, 0.00003,     1985,       11,     1974
PP, 0.00161, 0      ,     1861,        3,     1858
PQ, 0.00401, 0.00002,     1497,        6,     1491
PR, 0.0015 , 0      ,     2003,        3,     2000
PS, 0.00465, 0.00002,     2583,       12,     2571
PT, 0.00281, 0.00001,     2494,        7,     2487
PV, 0.0034 , 0.00001,     3237,       11,     3226
PW, 0      , 0      ,      582,        0,      582
PY, 0.00067, 0      ,     1495,        1,     1494
P_, 0.00602, 0.00004,      166,        1,      165
Q?, 0      , 0      ,        7,        0,        7
QA, 0.00855, 0.00007,     3041,       26,     3015
QC, 0.00483, 0.00002,      414,        2,      412
QD, 0.01109, 0.00012,     1714,       19,     1695
QE, 0.0069 , 0.00005,     2463,       17,     2446
QF, 0.01071, 0.00011,     1401,       15,     1386
QG, 0.01672, 0.00028,     2273,       38,     2235
QH, 0.01337, 0.00018,      823,       11,      812
QI, 0.01161, 0.00013,     2067,       24,     2043
QK, 0.00521, 0.00003,     1920,       10,     1910
QL, 0.00728, 0.00005,     3570,       26,     3544
QM, 0.01046, 0.00011,      765,        8,      757
QN, 0.01317, 0.00017,     1367,       18,     1349
QP, 0.01318, 0.00017,     1517,       20,     1497
QQ, 0.00819, 0.00007,     1588,       13,     1575
QR, 0.00754, 0.00006,     1856,       14,     1842
QS, 0.00763, 0.00006,     1835,       14,     1821
QT, 0.00661, 0.00004,     1665,       11,     1654
QV, 0.00894, 0.00008,     2238,       20,     2218
QW, 0.00472, 0.00002,      635,        3,      632
QY, 0.00796, 0.00006,     1257,       10,     1247
Q_, 0.0098 , 0.0001 ,      102,        1,      101
R?, 0.125  , 0.01562,        8,        1,        7
RA, 0.01025, 0.0001 ,     4294,       44,     4250
RC, 0.01099, 0.00012,      637,        7,      630
RD, 0.00884, 0.00008,     2941,       26,     2915
RE, 0.00624, 0.00004,     3849,       24,     3825
RF, 0.01054, 0.00011,     2182,       23,     2159
RG, 0.00885, 0.00008,     3502,       31,     3471
RH, 0.01003, 0.0001 ,     1196,       12,     1184
RI, 0.00844, 0.00007,     3081,       26,     3055
RK, 0.00805, 0.00006,     2608,       21,     2587
RL, 0.00867, 0.00008,     5303,       46,     5257
RM, 0.00812, 0.00007,     1231,       10,     1221
RN, 0.00583, 0.00003,     1886,       11,     1875
RP, 0.00791, 0.00006,     2024,       16,     2008
RQ, 0.00963, 0.00009,     1869,       18,     1851
RR, 0.00991, 0.0001 ,     2927,       29,     2898
RS, 0.00952, 0.00009,     2732,       26,     2706
RT, 0.0076 , 0.00006,     2367,       18,     2349
RV, 0.00727, 0.00005,     3712,       27,     3685
RW, 0.00542, 0.00003,      738,        4,      734
RY, 0.01488, 0.00022,     1814,       27,     1787
R_, 0.00741, 0.00005,      135,        1,      134
S?, 0      , 0      ,        9,        0,        9
SA, 0.01117, 0.00012,     4029,       45,     3984
SC, 0.01357, 0.00018,      663,        9,      654
SD, 0.00883, 0.00008,     3058,       27,     3031
SE, 0.00688, 0.00005,     3198,       22,     3176
SF, 0.00839, 0.00007,     2502,       21,     2481
SG, 0.0132 , 0.00017,     4242,       56,     4186
SH, 0.00806, 0.00007,     1240,       10,     1230
SI, 0.00804, 0.00006,     3357,       27,     3330
SK, 0.02479, 0.00061,     2743,       68,     2675
SL, 0.0088 , 0.00008,     5456,       48,     5408
SM, 0.01673, 0.00028,     1136,       19,     1117
SN, 0.01124, 0.00013,     2224,       25,     2199
SP, 0.00699, 0.00005,     2574,       18,     2556
SQ, 0.01279, 0.00016,     1798,       23,     1775
SR, 0.00717, 0.00005,     2650,       19,     2631
SS, 0.01127, 0.00013,     3462,       39,     3423
ST, 0.01706, 0.00029,     2696,       46,     2650
SV, 0.00752, 0.00006,     3725,       28,     3697
SW, 0.0116 , 0.00013,      776,        9,      767
SY, 0.01443, 0.00021,     1941,       28,     1913
S_, 0.00353, 0.00001,      283,        1,      282
T?, 0      , 0      ,       10,        0,       10
TA, 0.00962, 0.00009,     3952,       38,     3914
TC, 0.01109, 0.00012,      541,        6,      535
TD, 0.01331, 0.00018,     2780,       37,     2743
TE, 0.00724, 0.00005,     3038,       22,     3016
TF, 0.0055 , 0.00003,     2183,       12,     2171
TG, 0.01015, 0.0001 ,     3940,       40,     3900
TH, 0.00994, 0.0001 ,     1107,       11,     1096
TI, 0.01185, 0.00014,     2870,       34,     2836
TK, 0.03165, 0.001  ,     2591,       82,     2509
TL, 0.00915, 0.00008,     4918,       45,     4873
TM, 0.01   , 0.0001 ,     1100,       11,     1089
TN, 0.00736, 0.00005,     1901,       14,     1887
TP, 0.00925, 0.00009,     2486,       23,     2463
TQ, 0.00988, 0.0001 ,     1620,       16,     1604
TR, 0.00566, 0.00003,     2295,       13,     2282
TS, 0.00997, 0.0001 ,     2709,       27,     2682
TT, 0.02044, 0.00042,     2691,       55,     2636
TV, 0.00785, 0.00006,     3696,       29,     3667
TW, 0.00312, 0.00001,      641,        2,      639
TY, 0.00912, 0.00008,     1644,       15,     1629
T_, 0      , 0      ,      159,        0,      159
V?, 0      , 0      ,       12,        0,       12
VA, 0.00372, 0.00001,     5103,       19,     5084
VC, 0.00424, 0.00002,      707,        3,      704
VD, 0.00505, 0.00003,     4157,       21,     4136
VE, 0.00447, 0.00002,     4471,       20,     4451
VF, 0.00382, 0.00001,     2357,        9,     2348
VG, 0.00465, 0.00002,     4519,       21,     4498
VH, 0.00365, 0.00001,     1371,        5,     1366
VI, 0.00369, 0.00001,     3522,       13,     3509
VK, 0.0022 , 0      ,     3634,        8,     3626
VL, 0.00349, 0.00001,     5735,       20,     5715
VM, 0.0023 , 0.00001,     1304,        3,     1301
VN, 0.00544, 0.00003,     2572,       14,     2558
VP, 0.00472, 0.00002,     3178,       15,     3163
VQ, 0.00427, 0.00002,     2108,        9,     2099
VR, 0.00147, 0      ,     3409,        5,     3404
VS, 0.00769, 0.00006,     3643,       28,     3615
VT, 0.00342, 0.00001,     3508,       12,     3496
VV, 0.00234, 0.00001,     4691,       11,     4680
VW, 0.00404, 0.00002,      742,        3,      739
VY, 0.00467, 0.00002,     1926,        9,     1917
V_, 0      , 0      ,      123,        0,      123
W?, 0      , 0      ,        2,        0,        2
WA, 0.00396, 0.00002,     1010,        4,     1006
WC, 0      , 0      ,      155,        0,      155
WD, 0.00569, 0.00003,      879,        5,      874
WE, 0      , 0      ,      929,        0,      929
WF, 0.00215, 0      ,      465,        1,      464
WG, 0.01528, 0.00023,      916,       14,      902
WH, 0.0119 , 0.00014,      336,        4,      332
WI, 0.00475, 0.00002,      631,        3,      628
WK, 0.00301, 0.00001,      665,        2,      663
WL, 0.00171, 0      ,     1168,        2,     1166
WM, 0.00362, 0.00001,      276,        1,      275
WN, 0.00814, 0.00007,      614,        5,      609
WP, 0      , 0      ,      593,        0,      593
WQ, 0      , 0      ,      632,        0,      632
WR, 0.00274, 0.00001,      729,        2,      727
WS, 0.00508, 0.00003,      787,        4,      783
WT, 0      , 0      ,      664,        0,      664
WV, 0.00617, 0.00004,      811,        5,      806
WW, 0.0049 , 0.00002,      204,        1,      203
WY, 0.00924, 0.00009,      433,        4,      429
W_, 0.04348, 0.00189,       23,        1,       22
Y?, 0      , 0      ,        8,        0,        8
YA, 0.00834, 0.00007,     2399,       20,     2379
YC, 0.01217, 0.00015,      411,        5,      406
YD, 0.00919, 0.00008,     2286,       21,     2265
YE, 0.0049 , 0.00002,     2039,       10,     2029
YF, 0.00561, 0.00003,     1426,        8,     1418
YG, 0.00607, 0.00004,     2472,       15,     2457
YH, 0.0138 , 0.00019,      797,       11,      786
YI, 0.00494, 0.00002,     1821,        9,     1812
YK, 0.00739, 0.00005,     1894,       14,     1880
YL, 0.00513, 0.00003,     2923,       15,     2908
YM, 0.00472, 0.00002,      635,        3,      632
YN, 0.00536, 0.00003,     1492,        8,     1484
YP, 0.00396, 0.00002,     1515,        6,     1509
YQ, 0.00639, 0.00004,     1252,        8,     1244
YR, 0.00615, 0.00004,     1789,       11,     1778
YS, 0.00846, 0.00007,     2010,       17,     1993
YT, 0.00536, 0.00003,     1679,        9,     1670
YV, 0.01003, 0.0001 ,     2093,       21,     2072
YW, 0.00473, 0.00002,      423,        2,      421
YY, 0.00535, 0.00003,     1308,        7,     1301
Y_, 0      , 0      ,       52,        0,       52
