key, propensity, propensity^2, count, pos, neg
?A, 0.42105, 0.17729,       19,        8,       11
?C, 0      , 0      ,        5,        0,        5
?D, 0.09091, 0.00826,       11,        1,       10
?E, 0.16667, 0.02778,        6,        1,        5
?F, 0.09091, 0.00826,       11,        1,       10
?G, 0.28571, 0.08163,       14,        4,       10
?H, 0.5    , 0.25   ,        6,        3,        3
?I, 0.25   , 0.0625 ,       12,        3,        9
?K, 0.5    , 0.25   ,        2,        1,        1
?L, 0.25   , 0.0625 ,       16,        4,       12
?M, 0.2    , 0.04   ,        5,        1,        4
?N, 0.14286, 0.02041,        7,        1,        6
?P, 0      , 0      ,        4,        0,        4
?Q, 0      , 0      ,        7,        0,        7
?R, 0.125  , 0.01562,        8,        1,        7
?S, 0.25   , 0.0625 ,       12,        3,        9
?T, 0.4    , 0.16   ,       10,        4,        6
?V, 0.15385, 0.02367,       13,        2,       11
?W, 0      , 0      ,        2,        0,        2
?Y, 0      , 0      ,        8,        0,        8
?_, 0      , 0      ,        4,        0,        4
A?, 0      , 0      ,       16,        0,       16
AA, 0.00369, 0.00001,     6773,       25,     6748
AC, 0.00131, 0      ,      763,        1,      762
AD, 0.00635, 0.00004,     4568,       29,     4539
AE, 0.00397, 0.00002,     5044,       20,     5024
AF, 0.00367, 0.00001,     2722,       10,     2712
AG, 0.00526, 0.00003,     5129,       27,     5102
AH, 0.00437, 0.00002,     1603,        7,     1596
AI, 0.00389, 0.00002,     4108,       16,     4092
AK, 0.00237, 0.00001,     3799,        9,     3790
AL, 0.00364, 0.00001,     7146,       26,     7120
AM, 0.00248, 0.00001,     1612,        4,     1608
AN, 0.00535, 0.00003,     2806,       15,     2791
AP, 0.00561, 0.00003,     3031,       17,     3014
AQ, 0.00359, 0.00001,     2788,       10,     2778
AR, 0.0036 , 0.00001,     3889,       14,     3875
AS, 0.00466, 0.00002,     3862,       18,     3844
AT, 0.00463, 0.00002,     3673,       17,     3656
AV, 0.0035 , 0.00001,     4854,       17,     4837
AW, 0.00227, 0.00001,      882,        2,      880
AY, 0.00232, 0.00001,     2152,        5,     2147
A_, 0.01136, 0.00013,      264,        3,      261
C?, 0      , 0      ,        4,        0,        4
CA, 0.00531, 0.00003,      754,        4,      750
CC, 0      , 0      ,      152,        0,      152
CD, 0.01099, 0.00012,      637,        7,      630
CE, 0.00323, 0.00001,      620,        2,      618
CF, 0.01152, 0.00013,      434,        5,      429
CG, 0.00446, 0.00002,      896,        4,      892
CH, 0      , 0      ,      305,        0,      305
CI, 0.00339, 0.00001,      590,        2,      588
CK, 0.01304, 0.00017,      460,        6,      454
CL, 0.00321, 0.00001,      935,        3,      932
CM, 0      , 0      ,      196,        0,      196
CN, 0.00463, 0.00002,      432,        2,      430
CP, 0.00583, 0.00003,      515,        3,      512
CQ, 0.00531, 0.00003,      377,        2,      375
CR, 0.00177, 0      ,      565,        1,      564
CS, 0.00475, 0.00002,      632,        3,      629
CT, 0.00388, 0.00002,      516,        2,      514
CV, 0.00299, 0.00001,      668,        2,      666
CW, 0      , 0      ,      139,        0,      139
CY, 0.00557, 0.00003,      359,        2,      357
C_, 0      , 0      ,       14,        0,       14
D?, 0.16667, 0.02778,       12,        2,       10
